Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37NBE_M_R,Shrubland,3,1,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Grassland,0,2,6,1,3,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Cropland,37,0,19,0,5,2,1,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Bareland,39,3,0,2,6,5,2,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Built-up,7,0,4,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Forest,28,2,5,0,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Water,20,7,20,0,3,0,7,0,0,0
AFRICA_2024_WorldCover_2021_37NBE_M_R,Wetland,9,4,6,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Grassland,0,0,0,0,0,8,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Bareland,0,0,0,0,0,28,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Cropland,0,0,0,0,0,13,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,Wetland,0,0,0,0,0,12,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Bareland,0,0,0,0,0,0,2,16,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Grassland,0,0,0,0,0,0,0,11,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Wetland,0,0,0,0,0,0,0,36,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Water,0,0,0,0,0,0,0,19,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Cropland,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,Forest,0,0,0,0,0,3,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Cropland,22,0,28,15,4,0,0,0,19,2
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Bareland,27,1,0,17,0,0,2,0,21,0
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Built-up,4,0,4,0,0,0,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Water,21,0,39,9,0,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Forest,19,11,19,10,0,3,3,0,21,6
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Grassland,0,5,9,5,3,0,0,0,7,1
AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,Wetland,13,2,16,3,0,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Grassland,0,10,8,3,16,3,8,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Bareland,0,18,0,14,2,6,7,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Water,0,7,7,0,3,0,15,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Cropland,0,0,6,4,9,1,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Wetland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,Forest,0,14,3,1,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Bareland,5,12,0,0,3,9,7,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Forest,6,6,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Wetland,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Water,1,2,0,0,2,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Grassland,0,8,8,0,6,4,3,0,0,0
AFRICA_2024_DynamicWorld_2024_37NBE_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
