Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_36PXB_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Grassland,0,2,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Cropland,40,0,34,6,13,16,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Bareland,33,24,0,1,8,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Built-up,9,4,6,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Forest,6,2,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Wetland,1,1,1,0,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXB_M_R,Water,15,33,27,1,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXB_M_R,Grassland,0,0,0,0,0,4,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXB_M_R,Cropland,0,0,0,0,0,39,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXB_M_R,Wetland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXB_M_R,Bareland,0,0,0,0,0,29,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXB_M_R,Water,0,0,0,0,0,0,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Cropland,37,0,20,3,13,1,6,0,21,2,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Bareland,32,18,0,0,16,0,2,0,16,4,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Built-up,6,5,2,0,0,0,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Forest,4,7,0,0,1,0,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Water,32,35,27,0,2,0,13,0,14,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXB_M_R,Wetland,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Grassland,0,3,5,0,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Cropland,0,0,29,0,18,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Bareland,0,14,0,0,15,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Water,0,22,18,0,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Built-up,0,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXB_M_R,Forest,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Cropland,1,0,13,1,0,14,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Water,0,6,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Grassland,0,7,5,2,0,4,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Wetland,0,3,0,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Bareland,0,14,0,0,0,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXB_M_R,Built-up,0,7,7,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXB_M_R,Cropland,0,0,0,0,0,1,6,0,0,0,5
AFRICA_2024_GWL_FCS30D_2022_36PXB_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_36PXB_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_36PXB_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXB_M_R,Water,0,0,0,0,0,0,13,0,0,0,4
