Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35PRN_M_R,Shrubland,3,2,2,1,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Grassland,0,8,5,3,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Cropland,51,0,19,21,13,23,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Wetland,16,6,0,3,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Bareland,19,12,1,0,2,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Built-up,9,6,0,3,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Forest,37,25,13,8,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRN_M_R,Water,28,20,4,22,0,5,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Grassland,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Cropland,0,0,5,0,0,0,22,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Forest,0,0,8,0,0,0,13,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Wetland,0,0,0,0,0,0,8,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,Water,0,0,14,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Grassland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Cropland,0,0,0,0,0,0,0,18,1,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Forest,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Water,0,0,0,0,0,0,0,0,12,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Wetland,0,0,0,0,0,0,0,2,2,0
AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,Bareland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Cropland,32,0,5,7,21,35,0,1,0,44
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Bareland,16,4,0,0,4,5,0,0,0,14
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Built-up,5,4,0,0,0,4,0,0,0,5
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Water,10,17,14,2,2,11,0,0,0,16
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Forest,19,12,8,6,11,0,0,1,0,35
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Grassland,0,3,0,2,0,6,0,0,0,10
AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,Wetland,0,1,0,0,0,2,0,0,0,3
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Grassland,0,11,0,2,4,9,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Wetland,0,6,0,0,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Built-up,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Forest,0,21,0,0,14,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Cropland,0,0,0,2,12,16,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Water,0,19,0,0,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,Bareland,0,11,0,0,1,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Cropland,6,0,3,14,0,8,0,7,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Forest,2,11,0,2,0,0,0,2,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Grassland,0,5,0,7,0,4,0,2,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Wetland,0,8,0,0,0,7,0,7,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Built-up,0,4,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Water,0,1,0,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRN_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
