Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AFRICA_2024_WorldCover_2021_38PKS_M_R,Shrubland,1,1,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Grassland,0,3,1,2,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Cropland,35,0,8,30,10,17,5,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Bareland,40,24,7,0,17,11,9,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Built-up,7,7,1,7,0,2,3,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Forest,21,19,11,14,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Wetland,2,3,0,0,0,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKS_M_R,Water,8,5,3,14,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Cropland,0,0,0,0,0,0,2,14,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Bareland,0,0,1,0,0,0,3,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Wetland,0,0,0,0,0,0,0,16,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Forest,0,0,1,0,0,0,1,24,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,Water,0,0,4,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Water,23,10,4,16,6,0,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Cropland,36,0,0,26,17,14,2,0,29,10,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Wetland,2,4,0,6,0,1,0,0,2,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Bareland,38,29,1,0,22,5,3,0,30,11,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Built-up,7,5,0,5,0,1,0,0,6,1,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Forest,26,25,1,18,12,0,1,0,23,5,0
AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,Grassland,0,1,0,3,1,0,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,Grassland,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,Cropland,0,0,0,0,0,0,11,0,0,0,3
AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,Bareland,0,0,0,0,0,0,24,0,0,0,1
AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,Water,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Grassland,0,7,0,3,3,3,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Water,0,3,1,3,1,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Bareland,0,25,2,0,25,15,19,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Built-up,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Forest,0,20,9,3,6,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Cropland,0,0,4,14,19,20,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,Wetland,0,1,0,0,0,3,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Cropland,3,0,2,13,0,11,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Grassland,0,4,0,8,0,3,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Water,0,8,0,10,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Wetland,0,4,0,2,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Bareland,0,12,1,0,0,3,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Built-up,0,2,0,9,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKS_M_R,Forest,0,8,4,3,0,0,0,0,0,0,0
