Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35NPD_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Grassland,0,3,0,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Cropland,12,1,2,5,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Wetland,22,0,1,0,21,2,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Bareland,2,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Built-up,10,0,2,0,10,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Water,31,7,20,3,48,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPD_M_R,Forest,51,6,5,15,0,8,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Bareland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Forest,0,19,0,0,0,5,0,19,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Wetland,0,0,0,0,0,0,0,27,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Water,0,26,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Grassland,0,1,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,Wetland,0,0,0,0,0,8,0,0,5,0,0
AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,Forest,0,0,0,0,0,32,0,0,13,0,0
AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,Water,0,0,0,0,0,0,0,0,40,0,0
AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,Grassland,0,0,0,0,0,2,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Cropland,1,0,0,5,6,0,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Wetland,0,0,2,2,8,0,4,0,0,9,0
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Built-up,0,1,1,0,4,0,7,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Water,9,26,16,15,26,0,23,0,0,28,1
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Forest,5,19,20,13,0,5,33,0,0,26,0
AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,Grassland,0,1,0,1,10,0,8,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Grassland,0,0,0,0,11,2,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Built-up,0,0,0,0,2,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Forest,0,6,0,27,0,34,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Water,0,1,0,10,15,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Cropland,0,0,0,3,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Wetland,0,0,0,1,10,17,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Wetland,1,0,0,0,5,7,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Forest,7,7,0,0,0,12,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Built-up,0,0,0,0,9,3,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Water,0,1,0,0,18,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Grassland,0,0,0,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPD_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
