Dataset,MajorityClass,Grassland,Cropland,Wetland,Built-up,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NWN_M_R,Shrubland,3,1,3,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Grassland,0,0,45,0,12,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Cropland,30,0,33,1,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Wetland,46,0,0,0,25,9,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Bareland,9,0,3,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Built-up,14,0,9,0,5,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Water,67,0,105,0,55,0,13,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWN_M_R,Forest,71,1,74,2,0,13,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Grassland,0,0,6,0,0,2,0,53,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Cropland,0,0,0,0,0,0,0,33,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Bareland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Built-up,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Forest,0,0,19,0,0,9,0,102,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Wetland,0,0,0,0,0,9,0,137,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWN_M_R,Water,0,0,20,0,0,0,0,85,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Wetland,0,0,0,0,0,69,0,0,12,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Built-up,0,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Forest,0,0,0,0,0,70,0,0,14,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Grassland,0,0,0,0,0,23,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Water,0,0,0,0,0,0,0,0,39,0,0
AFRICA_2024_GSW_Yearly_2021_36NWN_M_R,Cropland,0,0,0,0,0,11,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Water,4,13,20,11,45,0,31,0,0,69,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Cropland,0,0,0,2,14,0,12,0,0,28,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Wetland,0,8,0,1,34,9,26,0,0,43,1
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Built-up,4,4,0,0,5,0,3,0,0,10,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Forest,9,21,19,12,0,9,33,0,0,65,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Grassland,0,11,6,7,21,2,23,0,0,31,0
AFRICA_2024_GLC_FCS30D_2022_36NWN_M_R,Bareland,0,0,0,0,1,0,0,0,0,5,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Water,0,19,29,4,48,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Grassland,0,11,8,3,32,17,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Wetland,0,13,0,1,43,39,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Forest,0,14,15,8,0,34,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Cropland,0,0,0,7,12,5,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWN_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWN_M_R,Water,31,8,28,0,28,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWN_M_R,Wetland,34,20,0,0,27,25,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWN_M_R,Forest,25,13,19,0,0,17,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWN_M_R,Grassland,0,1,1,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWN_M_R,Built-up,0,3,0,0,0,1,0,0,0,0,0
