Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Built-up,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_35PRS_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Grassland,0,3,3,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Cropland,24,21,17,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Bareland,35,0,7,12,3,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Built-up,5,5,3,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Water,23,23,2,1,0,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Forest,25,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRS_M_R,Wetland,5,1,7,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Grassland,0,0,0,0,0,7,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Cropland,0,0,0,0,0,9,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Bareland,0,0,0,0,0,23,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Water,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,Forest,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Grassland,0,2,6,4,4,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Bareland,0,0,4,15,9,9,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Cropland,0,6,9,0,5,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Forest,0,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,Water,0,5,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Cropland,27,6,5,0,9,0,1,0,10,2,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Bareland,33,0,6,20,23,4,2,0,22,7,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Built-up,6,1,0,1,0,0,0,0,1,2,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Water,20,10,0,4,5,0,5,0,2,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Forest,15,4,0,20,14,0,0,0,9,5,0
AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,Wetland,8,0,4,5,1,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Bareland,0,0,0,0,0,4,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,22
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Forest,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,Water,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Grassland,0,10,2,6,0,3,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Bareland,0,0,0,9,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Forest,0,3,0,5,0,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Built-up,0,4,0,1,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Water,0,7,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRS_M_R,Cropland,0,4,0,0,0,0,0,0,0,0,0
