Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_36NYP_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Grassland,0,14,0,4,7,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Cropland,28,0,9,14,19,10,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Bareland,9,4,0,0,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Built-up,8,8,7,0,8,4,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Water,21,19,18,0,24,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Forest,44,31,11,21,0,19,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYP_M_R,Wetland,4,2,1,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Water,0,0,0,0,0,0,0,17,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,Forest,0,0,0,0,0,0,16,4,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Forest,0,0,0,0,0,10,4,0,29,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Cropland,0,0,0,0,0,4,0,0,10,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Built-up,0,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Grassland,0,0,0,0,0,2,0,0,14,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Wetland,0,0,0,0,0,0,1,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,Water,0,0,0,0,0,13,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Cropland,5,0,10,10,29,4,0,0,0,18,1,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Built-up,4,8,4,0,8,0,0,0,0,6,3,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Water,1,4,20,7,27,13,0,0,0,19,0,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Forest,7,24,19,19,0,10,4,0,0,32,2,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Grassland,0,11,7,8,18,2,0,0,0,12,0,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Wetland,0,0,0,0,2,0,1,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,Bareland,0,0,0,0,8,0,0,0,0,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Grassland,0,16,0,11,19,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Forest,0,23,2,24,0,5,32,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Cropland,0,0,0,19,14,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Wetland,0,2,0,1,2,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Bareland,0,5,0,3,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,Water,0,6,0,4,5,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Cropland,12,0,2,0,12,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Wetland,3,1,0,0,8,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Forest,14,11,7,0,0,5,10,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Built-up,4,2,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Bareland,0,0,0,0,1,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYP_M_R,Water,0,0,0,0,26,0,0,0,0,0,0,0
