Dataset,MajorityClass,Grassland,Bareland,Cropland,Forest,Water,Shrubland,Built-up,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_35QRU_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Grassland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Cropland,1,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Bareland,9,0,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Built-up,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Wetland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QRU_M_R,Water,2,4,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35QRU_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QRU_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QRU_M_R,Wetland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QRU_M_R,Bareland,4,0,2,0,0,5,5,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35QRU_M_R,Water,1,1,0,0,0,2,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QRU_M_R,Bareland,0,0,7,1,0,0,1,0,3,0
AFRICA_2024_GWL_FCS30D_2022_35QRU_M_R,Bareland,0,0,0,0,0,0,0,0,0,3
AFRICA_2024_GWL_FCS30D_2022_35QRU_M_R,Wetland,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_35QRU_M_R,Grassland,0,1,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35QRU_M_R,Bareland,0,0,0,0,6,0,0,0,0,0
