Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Wetland,Cropland,Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_35PNS_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNS_M_R,Grassland,0,2,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNS_M_R,Cropland,8,8,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNS_M_R,Bareland,43,0,19,4,3,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNS_M_R,Built-up,4,5,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNS_M_R,Forest,18,11,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNS_M_R,Grassland,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNS_M_R,Forest,0,0,0,0,0,0,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNS_M_R,Bareland,0,0,0,0,0,0,30,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,Grassland,0,2,2,2,1,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,Bareland,0,0,13,15,6,15,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,Cropland,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,Forest,0,0,0,3,0,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,Bareland,30,0,11,27,2,10,0,32,5,0
AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,Built-up,4,2,0,0,0,1,0,1,2,0
AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,Forest,16,6,0,11,1,7,0,10,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,Cropland,7,2,4,2,0,0,0,7,1,0
AFRICA_2024_DynamicWorld_2024_35PNS_M_R,Grassland,0,7,2,0,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNS_M_R,Bareland,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNS_M_R,Forest,0,7,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNS_M_R,Built-up,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNS_M_R,Wetland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNS_M_R,Bareland,0,0,0,0,2,0,0,0,0,9
AFRICA_2024_GWL_FCS30D_2022_35PNS_M_R,Grassland,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_35PNS_M_R,Forest,0,0,0,0,1,0,0,0,0,0
