Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Shrubland,3,1,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Grassland,0,7,1,2,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Cropland,55,0,31,15,49,4,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Wetland,10,5,2,0,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Bareland,35,22,0,0,14,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Built-up,7,7,6,0,7,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Water,75,53,57,0,71,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBQ_M_R,Forest,56,31,21,7,0,1,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Cropland,0,0,0,0,0,0,19,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Bareland,0,0,0,0,0,0,21,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Forest,0,0,0,0,0,0,27,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Water,0,0,0,0,0,0,0,64,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,Wetland,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Cropland,22,0,35,18,33,3,0,0,41,17,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Bareland,6,20,0,9,15,1,0,0,16,3,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Built-up,5,5,5,0,7,0,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Water,18,43,58,25,35,27,0,0,52,10,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Forest,15,30,31,19,0,9,4,0,41,16,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Grassland,0,5,3,1,6,0,0,0,7,1,0
AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,Wetland,2,2,4,0,1,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,5
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Forest,0,0,0,0,0,9,4,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,13
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,Water,0,0,0,0,0,27,0,0,0,0,5
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Grassland,0,14,0,2,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Bareland,0,27,0,4,2,0,31,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Forest,0,44,1,18,0,1,42,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Cropland,0,0,3,18,15,0,27,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Water,0,38,2,0,21,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,Wetland,0,5,0,0,0,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Cropland,8,0,16,0,16,1,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Forest,5,10,3,0,0,2,15,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Grassland,0,2,2,0,2,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Wetland,0,4,1,0,1,0,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Bareland,0,4,0,0,3,2,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Built-up,0,5,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,Water,0,3,1,0,9,0,0,0,0,0,0
