Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37QBU_M_R,Shrubland,2,2,2,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Grassland,0,7,5,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Cropland,27,0,23,2,18,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Wetland,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Lichens_and_Mosses,2,1,2,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Bareland,36,21,0,3,16,3,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Built-up,9,3,9,0,8,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Forest,21,14,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QBU_M_R,Water,8,5,6,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QBU_M_R,Grassland,0,0,0,0,0,4,1,0,0
AFRICA_2024_GSW_Yearly_2021_37QBU_M_R,Bareland,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QBU_M_R,Water,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_37QBU_M_R,Wetland,0,0,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Cropland,20,0,9,5,12,0,0,10,8
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Bareland,25,16,0,14,8,0,0,18,17
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Built-up,5,5,4,0,3,0,0,4,4
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Forest,16,13,7,3,0,0,0,9,9
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Grassland,0,3,0,0,4,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_37QBU_M_R,Water,4,4,4,3,1,0,0,5,4
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Grassland,0,3,5,1,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Bareland,0,15,0,2,11,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Built-up,0,1,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Forest,0,1,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Cropland,0,0,7,1,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QBU_M_R,Water,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QBU_M_R,Cropland,1,0,6,0,2,1,0,0,0
AFRICA_2024_DynamicWorld_2024_37QBU_M_R,Grassland,0,4,3,0,1,3,0,0,0
AFRICA_2024_DynamicWorld_2024_37QBU_M_R,Bareland,0,7,0,0,0,7,0,0,0
AFRICA_2024_DynamicWorld_2024_37QBU_M_R,Forest,0,6,6,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QBU_M_R,Wetland,0,0,0,0,0,1,0,0,0
