Dataset,MajorityClass,Bareland,Grassland,Forest,Wetland,Built-up,Cropland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow,Non_Wetland
AFRICA_2024_WorldCover_2021_37PFT_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Cropland,7,5,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Bareland,0,47,6,32,14,22,40,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Forest,4,7,0,3,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Wetland,12,18,6,0,0,9,20,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Water,57,24,1,18,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PFT_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Bareland,0,0,0,0,0,0,81,25,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Water,0,0,0,0,0,0,0,37,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Wetland,0,0,0,0,0,0,27,12,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PFT_M_R,Forest,0,0,0,0,0,0,2,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Bareland,0,31,5,56,25,54,15,0,29,13,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Forest,2,5,0,13,0,23,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Water,24,17,0,60,12,32,0,0,19,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Wetland,4,3,0,0,0,18,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PFT_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Cropland,2,0,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Wetland,11,0,19,0,0,6,46,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Bareland,0,0,12,5,5,7,49,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Grassland,0,0,1,0,0,1,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Water,48,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PFT_M_R,Forest,2,0,0,0,0,4,7,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Water,53,2,4,2,0,0,0,0,0,0,27,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Bareland,0,0,0,1,0,1,11,0,0,0,12,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Wetland,48,0,18,0,0,3,13,0,0,0,5,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Forest,2,0,0,1,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Grassland,5,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Cropland,8,0,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PFT_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,Water,0,0,0,36,0,0,0,0,0,0,0,12
AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,26
AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,Bareland,0,0,0,28,0,0,6,0,0,0,0,35
AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,Forest,0,0,0,12,0,0,0,0,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37PFT_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,0,1
