Value,AFRICA_2024_DynamicWorld_2024_38PKU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKU_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKU_M_R,AFRICA_2024_GSW_Yearly_2021_38PKU_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKU_M_R,AFRICA_2024_WorldCover_2021_38PKU_M_R
118,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
119,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
122,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
123,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
126,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
127,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
129,NULL,Bareland,Wetland,NULL,Wetland,NULL
130,NULL,Bareland,Wetland,NULL,Wetland,Wetland
131,NULL,Bareland,Wetland,NULL,Wetland,Bareland
132,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
133,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
135,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
137,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
138,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
139,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
140,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
142,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
148,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
155,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
156,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
157,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
158,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
166,NULL,Built-up,Wetland,Water,NULL,Bareland
167,NULL,Built-up,Wetland,Water,Wetland,Water
168,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
169,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
177,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
178,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
179,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
180,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
181,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
182,NULL,Built-up,Bareland,Water,Non_Wetland,Water
183,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
190,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
191,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
192,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
193,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
194,NULL,Built-up,Water,Water,NULL,Bareland
195,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
196,NULL,Water,Wetland,NULL,Wetland,Water
197,NULL,Water,Wetland,Water,Wetland,Bareland
198,NULL,Water,Wetland,Water,Wetland,Water
199,NULL,Water,Bareland,NULL,Non_Wetland,NULL
200,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
201,NULL,Water,Bareland,NULL,Non_Wetland,Water
202,NULL,Water,Bareland,Water,Non_Wetland,Bareland
203,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
204,NULL,Water,Built-up,Water,Non_Wetland,Bareland
205,NULL,Water,Water,Water,NULL,Bareland
206,NULL,Water,Water,Water,NULL,Water
207,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
208,NULL,Forest,NULL,NULL,Non_Wetland,Forest
209,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
210,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
211,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
212,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
213,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
214,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
215,NULL,Forest,Wetland,NULL,Wetland,NULL
216,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
217,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
219,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
220,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
222,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
223,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
224,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
225,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
227,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
228,Grassland,NULL,Wetland,NULL,Wetland,NULL
229,Grassland,NULL,Wetland,NULL,Wetland,Cropland
230,Grassland,NULL,Wetland,NULL,Wetland,Wetland
231,Grassland,NULL,Wetland,NULL,Wetland,Bareland
232,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
233,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland
234,Grassland,NULL,Wetland,Water,Wetland,Wetland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
238,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
239,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
240,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
241,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
242,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
243,Grassland,Wetland,Wetland,NULL,Wetland,Bareland
244,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
245,Grassland,Bareland,Wetland,NULL,Wetland,Cropland
246,Grassland,Bareland,Wetland,NULL,Wetland,Wetland
247,Grassland,Bareland,Wetland,NULL,Wetland,Bareland
248,Grassland,Bareland,Wetland,Non_Water,Wetland,Wetland
249,Grassland,Bareland,Wetland,Water,Wetland,Wetland
250,Grassland,Water,Wetland,NULL,Wetland,Wetland
251,Grassland,Water,Wetland,Water,Wetland,Wetland
252,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
253,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
254,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
255,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
256,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
257,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
258,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
259,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
260,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
262,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
263,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
264,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
265,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
266,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
267,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
268,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
269,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
270,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
271,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
272,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
273,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
274,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
275,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
278,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
279,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
280,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
281,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
282,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
283,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
284,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
285,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
286,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
287,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
288,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
289,Cropland,NULL,Wetland,NULL,Wetland,NULL
290,Cropland,NULL,Wetland,NULL,Wetland,Cropland
291,Cropland,NULL,Wetland,NULL,Wetland,Wetland
292,Cropland,NULL,Wetland,NULL,Wetland,Forest
293,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
294,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
295,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
296,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
297,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
298,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
299,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
300,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
301,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
302,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
303,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
304,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
305,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
306,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
308,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
309,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
310,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
311,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
312,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
313,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
314,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
315,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
316,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
317,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
318,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
319,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
320,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
321,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
322,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
323,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
324,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
325,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
326,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
327,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
328,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
329,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
330,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
331,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
332,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
333,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
334,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
335,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
336,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
337,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
338,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
339,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
340,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
341,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
342,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
343,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
344,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
345,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
346,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
347,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
348,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
349,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
350,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
351,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
352,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
353,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
354,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
355,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
356,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
357,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
358,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
359,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
360,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
361,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
362,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
363,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
364,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
365,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
366,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
367,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
368,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
369,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
370,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
371,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
372,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
373,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
375,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
376,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
377,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
378,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
379,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
380,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
381,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
382,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
383,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
384,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
385,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
386,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
387,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
388,Cropland,Water,Built-up,NULL,Non_Wetland,Bareland
389,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
390,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
392,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
393,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
394,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
395,Cropland,Forest,Wetland,NULL,Wetland,Wetland
396,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
397,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
398,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
399,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
400,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
401,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
402,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
403,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
404,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
405,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
406,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
407,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
408,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
409,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
410,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
411,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
412,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
413,Wetland,NULL,Wetland,NULL,Wetland,NULL
414,Wetland,NULL,Wetland,NULL,Wetland,Cropland
415,Wetland,NULL,Wetland,NULL,Wetland,Wetland
416,Wetland,NULL,Wetland,NULL,Wetland,Bareland
417,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
