Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_37NGD_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Grassland,0,4,3,1,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Cropland,13,0,4,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Wetland,19,6,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Bareland,10,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Built-up,6,0,2,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Water,54,3,21,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGD_M_R,Forest,22,2,2,2,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Grassland,0,0,0,0,0,6,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Wetland,0,0,0,0,0,2,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Water,0,0,0,0,0,0,23,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,Forest,0,0,0,0,0,6,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Wetland,4,11,2,0,0,0,0,9,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Bareland,3,2,0,1,0,0,0,9,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Built-up,3,2,2,0,0,0,0,5,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Water,20,24,15,3,2,0,0,20,0,6,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Forest,10,12,5,3,0,1,0,26,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Grassland,0,10,0,0,0,0,0,14,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,Cropland,6,0,0,0,1,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,26
AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,16
AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,Water,0,0,0,0,0,0,0,0,0,6,2
AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,4
AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Grassland,0,0,0,5,9,7,0,0,0,12,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Wetland,0,0,0,0,2,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Bareland,0,0,0,2,3,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Cropland,0,0,0,4,6,2,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Water,0,0,0,0,8,0,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,Forest,0,0,0,6,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGD_M_R,Cropland,4,0,0,0,1,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_37NGD_M_R,Grassland,0,5,2,0,3,5,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_37NGD_M_R,Forest,0,1,0,0,0,5,0,0,0,0,0
