Dataset,MajorityClass,Bareland,Grassland,Wetland,Built-up,Water,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37QGU_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Cropland,4,3,2,1,2,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Wetland,8,7,0,0,4,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Bareland,0,6,2,5,11,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Built-up,6,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Water,27,6,2,1,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QGU_M_R,Forest,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,Wetland,0,0,0,0,10,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,Bareland,0,0,0,0,15,0,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QGU_M_R,Water,0,0,0,0,0,0,0,10,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QGU_M_R,Cropland,0,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_37QGU_M_R,Bareland,0,0,3,0,2,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_37QGU_M_R,Water,0,0,12,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_37QGU_M_R,Forest,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QGU_M_R,Water,10,0,22,6,0,0,13,0,0,10,0
AFRICA_2024_GLC_FCS30D_2022_37QGU_M_R,Bareland,0,2,7,5,5,0,9,0,0,7,1
AFRICA_2024_GLC_FCS30D_2022_37QGU_M_R,Built-up,3,2,0,0,0,0,4,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_37QGU_M_R,Forest,0,0,1,0,0,0,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QGU_M_R,Wetland,9,0,0,0,11,4,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QGU_M_R,Water,12,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QGU_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QGU_M_R,Bareland,0,0,0,1,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QGU_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
