Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Non_Wetland,Water,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NPF_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Grassland,0,8,0,0,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Cropland,12,0,1,6,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Wetland,45,0,1,3,23,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Bareland,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Built-up,10,0,3,0,5,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Forest,61,26,2,16,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPF_M_R,Water,36,6,2,0,31,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Forest,0,13,0,0,0,0,64,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Wetland,0,0,0,0,0,0,86,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Built-up,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Grassland,0,1,0,0,0,0,10,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,Water,0,12,0,0,0,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,Forest,0,0,0,0,0,0,0,30,14,0
AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,Built-up,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,Water,0,0,0,0,0,0,0,0,20,0
AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,Wetland,0,0,0,0,0,0,0,9,4,0
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Cropland,0,0,0,1,6,0,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Wetland,3,0,6,2,25,5,0,0,0,31
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Built-up,0,0,0,0,5,6,0,0,0,8
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Water,0,12,5,2,22,1,0,0,0,33
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Forest,11,13,15,18,0,24,0,3,0,52
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Grassland,0,1,1,0,9,8,0,0,0,8
AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,Bareland,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Forest,0,21,0,19,0,12,0,23,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Built-up,0,2,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Cropland,0,0,0,6,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Wetland,0,0,0,4,31,0,0,11,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Grassland,0,1,0,0,18,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,Water,0,3,0,3,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Forest,11,18,1,0,0,6,0,19,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Cropland,1,0,0,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Wetland,1,0,0,0,11,0,0,8,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Built-up,0,0,0,0,8,6,0,1,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Water,0,1,0,0,5,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPF_M_R,Grassland,0,1,0,0,1,0,0,0,0,0
