Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Shrubland,3,3,2,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Grassland,0,48,3,1,9,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Cropland,58,47,7,2,15,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Wetland,122,0,13,7,50,51,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Bareland,20,19,0,3,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Built-up,14,9,8,0,1,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Water,83,103,11,1,0,50,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NRJ_M_R,Forest,75,77,11,5,14,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Grassland,0,9,0,0,3,0,80,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Cropland,0,3,0,0,1,0,59,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Bareland,0,0,0,0,0,0,20,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Built-up,0,2,0,0,0,0,10,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Forest,0,17,0,0,10,0,123,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Wetland,0,0,0,0,22,0,275,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NRJ_M_R,Water,0,24,0,0,0,0,95,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Grassland,0,0,0,0,36,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Cropland,0,0,0,0,41,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Wetland,0,0,0,0,121,0,0,35,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Bareland,0,0,0,0,15,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Built-up,0,0,0,0,6,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Water,0,0,0,0,0,0,0,45,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NRJ_M_R,Forest,0,0,0,0,66,0,0,4,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Water,11,24,31,5,0,34,0,0,64,17,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Cropland,9,3,15,9,1,18,0,0,48,0,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Wetland,23,0,38,11,22,43,0,0,82,31,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Bareland,3,0,0,8,0,2,0,0,17,4,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Built-up,5,2,4,0,0,5,0,0,9,5,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Forest,9,17,20,13,10,0,0,0,76,24,0
AFRICA_2024_GLC_FCS30D_2022_35NRJ_M_R,Grassland,0,9,13,6,3,20,0,0,40,8,1
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Water,0,87,9,1,0,45,0,0,0,18,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Grassland,0,27,0,5,11,29,0,0,0,26,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Wetland,0,0,6,15,44,63,0,0,0,42,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Forest,0,38,0,15,13,0,0,0,0,22,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Cropland,0,12,0,14,1,9,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NRJ_M_R,Bareland,0,0,0,0,0,3,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Water,39,43,4,0,0,41,0,0,0,15,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Wetland,56,0,2,0,45,53,0,0,0,30,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Forest,16,15,3,0,8,0,0,0,0,10,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Grassland,0,7,3,0,1,8,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Built-up,0,1,1,0,2,2,0,0,0,6,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Bareland,0,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NRJ_M_R,Cropland,0,0,2,0,0,1,0,0,0,0,0
