Value,AFRICA_2024_DynamicWorld_2024_38PLR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLR_M_R,AFRICA_2024_WorldCover_2021_38PLR_M_R
124,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
135,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
136,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
137,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
148,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
149,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
150,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
151,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Water
152,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
153,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
154,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
155,NULL,Cropland,Grassland,Water,Non_Wetland,Water
156,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
159,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
160,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
163,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
164,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
167,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
168,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
169,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
170,NULL,Cropland,Cropland,Water,Non_Wetland,Water
171,NULL,Cropland,Wetland,NULL,Wetland,Grassland
172,NULL,Cropland,Wetland,NULL,Wetland,Cropland
173,NULL,Cropland,Wetland,NULL,Wetland,Water
174,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
175,NULL,Cropland,Wetland,Non_Water,Wetland,Water
176,NULL,Cropland,Wetland,Water,Wetland,Grassland
177,NULL,Cropland,Wetland,Water,Wetland,Cropland
178,NULL,Cropland,Wetland,Water,Wetland,Bareland
179,NULL,Cropland,Wetland,Water,Wetland,Water
180,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
186,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
188,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
189,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
190,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
191,NULL,Cropland,Bareland,Water,Non_Wetland,Water
192,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
193,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
196,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
197,NULL,Cropland,Water,NULL,Water,NULL
198,NULL,Cropland,Water,NULL,Water,Grassland
199,NULL,Cropland,Water,NULL,Water,Cropland
200,NULL,Cropland,Water,NULL,Water,Bareland
201,NULL,Cropland,Water,NULL,Water,Water
202,NULL,Cropland,Water,Non_Water,Water,Grassland
203,NULL,Cropland,Water,Non_Water,Water,Cropland
204,NULL,Cropland,Water,Non_Water,Water,Water
205,NULL,Cropland,Water,Water,Water,Grassland
206,NULL,Cropland,Water,Water,Water,Cropland
207,NULL,Cropland,Water,Water,Water,Bareland
208,NULL,Cropland,Water,Water,Water,Water
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
210,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
211,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
212,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
213,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
214,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
215,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
216,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
217,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
218,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
219,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
220,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
221,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
222,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
224,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
225,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
226,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
227,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
228,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
229,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
230,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
231,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
232,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
233,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
234,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
235,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
236,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
237,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
238,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
239,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
240,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
241,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
242,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
243,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
244,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
245,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
246,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
247,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
248,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
249,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
250,NULL,Built-up,NULL,Non_Water,Non_Wetland,Bareland
251,NULL,Built-up,NULL,Water,Non_Wetland,Cropland
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
258,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
259,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
260,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
261,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
262,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
263,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
270,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
271,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
272,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
273,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water
276,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
277,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
278,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
279,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
280,NULL,Built-up,Grassland,Water,Non_Wetland,Water
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
282,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
283,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
287,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
288,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
289,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
290,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
291,NULL,Built-up,Cropland,Water,Non_Wetland,Water
292,NULL,Built-up,Wetland,Water,Wetland,Built-up
293,NULL,Built-up,Wetland,Water,Wetland,Water
294,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
295,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
296,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
297,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
298,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
304,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
305,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
311,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
312,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
314,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
315,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
316,NULL,Water,NULL,NULL,Non_Wetland,NULL
317,NULL,Water,NULL,NULL,Non_Wetland,Water
318,NULL,Water,NULL,Water,Non_Wetland,Bareland
319,NULL,Water,NULL,Water,Non_Wetland,Water
320,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
321,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
322,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
323,NULL,Water,Shrubland,NULL,Non_Wetland,Water
324,NULL,Water,Shrubland,Water,Non_Wetland,NULL
325,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
326,NULL,Water,Shrubland,Water,Non_Wetland,Water
327,NULL,Water,Grassland,NULL,Non_Wetland,NULL
328,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
329,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
330,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
331,NULL,Water,Grassland,NULL,Non_Wetland,Water
332,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
333,NULL,Water,Grassland,Water,Non_Wetland,NULL
334,NULL,Water,Grassland,Water,Non_Wetland,Grassland
335,NULL,Water,Grassland,Water,Non_Wetland,Cropland
336,NULL,Water,Grassland,Water,Non_Wetland,Bareland
337,NULL,Water,Grassland,Water,Non_Wetland,Water
338,NULL,Water,Cropland,NULL,Non_Wetland,NULL
339,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
340,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
341,NULL,Water,Cropland,NULL,Non_Wetland,Water
342,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
343,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
344,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
345,NULL,Water,Cropland,Water,Non_Wetland,Grassland
346,NULL,Water,Cropland,Water,Non_Wetland,Cropland
347,NULL,Water,Cropland,Water,Non_Wetland,Bareland
348,NULL,Water,Cropland,Water,Non_Wetland,Water
349,NULL,Water,Wetland,NULL,Wetland,NULL
350,NULL,Water,Wetland,NULL,Wetland,Bareland
351,NULL,Water,Wetland,NULL,Wetland,Water
352,NULL,Water,Wetland,Non_Water,Wetland,Cropland
353,NULL,Water,Wetland,Non_Water,Wetland,Water
354,NULL,Water,Wetland,Water,Wetland,Cropland
355,NULL,Water,Wetland,Water,Wetland,Bareland
356,NULL,Water,Wetland,Water,Wetland,Water
357,NULL,Water,Bareland,NULL,Non_Wetland,NULL
358,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
359,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
360,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
361,NULL,Water,Bareland,NULL,Non_Wetland,Water
362,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
363,NULL,Water,Bareland,Water,Non_Wetland,NULL
364,NULL,Water,Bareland,Water,Non_Wetland,Bareland
365,NULL,Water,Bareland,Water,Non_Wetland,Water
366,NULL,Water,Built-up,NULL,Non_Wetland,NULL
367,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
368,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
369,NULL,Water,Built-up,NULL,Non_Wetland,Water
370,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
371,NULL,Water,Built-up,Water,Non_Wetland,Cropland
372,NULL,Water,Built-up,Water,Non_Wetland,Water
373,NULL,Water,Water,NULL,Water,Grassland
374,NULL,Water,Water,NULL,Water,Cropland
375,NULL,Water,Water,NULL,Water,Bareland
376,NULL,Water,Water,NULL,Water,Water
377,NULL,Water,Water,Non_Water,Water,Cropland
378,NULL,Water,Water,Non_Water,Water,Water
379,NULL,Water,Water,Water,Water,Cropland
380,NULL,Water,Water,Water,Water,Bareland
381,NULL,Water,Water,Water,Water,Water
382,NULL,Forest,NULL,NULL,Non_Wetland,NULL
383,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
384,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
385,NULL,Forest,NULL,NULL,Non_Wetland,Forest
386,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
387,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
388,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
389,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
390,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
391,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
392,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
393,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
394,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
395,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
396,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
397,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
398,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
399,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
400,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
401,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
402,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
403,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
404,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
405,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
406,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
407,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
408,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
409,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
410,NULL,Forest,Cropland,Water,Non_Wetland,NULL
411,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
412,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
413,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
414,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
415,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
416,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
417,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
418,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
419,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
420,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
421,NULL,Forest,Forest,NULL,Non_Wetland,NULL
422,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
423,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
424,NULL,Forest,Forest,NULL,Non_Wetland,Forest
425,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
426,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
427,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
428,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
429,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
430,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
431,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
432,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
433,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
