Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Wetland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_38NLL_M_R,Shrubland,3,2,3,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Grassland,0,1,3,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Cropland,8,0,6,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Bareland,21,0,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Built-up,4,0,5,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Forest,9,2,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38NLL_M_R,Water,15,1,17,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,Grassland,0,0,0,0,0,4,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,Cropland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,Bareland,0,0,0,0,0,16,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_38NLL_M_R,Water,0,0,0,0,0,0,11,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,Bareland,12,1,0,6,0,2,0,15,0,0
AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,Built-up,3,0,1,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,Water,14,6,7,1,0,0,0,9,2,0
AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,Forest,7,6,4,2,0,0,0,8,0,1
AFRICA_2024_GLC_FCS30D_2022_38NLL_M_R,Cropland,6,0,1,2,1,0,0,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLL_M_R,Grassland,0,0,1,2,1,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38NLL_M_R,Bareland,0,0,0,6,0,5,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38NLL_M_R,Bareland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38NLL_M_R,Water,0,0,0,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_38NLL_M_R,Grassland,0,3,4,0,1,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NLL_M_R,Bareland,0,1,0,0,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NLL_M_R,Water,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38NLL_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
