Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PNP_M_R,Shrubland,1,1,1,1,1,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Grassland,0,1,1,1,1,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Cropland,23,0,10,3,2,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Bareland,16,7,0,2,2,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Built-up,6,5,5,0,5,0,0
AFRICA_2024_WorldCover_2021_35PNP_M_R,Forest,14,3,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNP_M_R,Cropland,15,0,4,4,3,16,3
AFRICA_2024_GLC_FCS30D_2022_35PNP_M_R,Built-up,7,0,0,0,1,6,0
AFRICA_2024_GLC_FCS30D_2022_35PNP_M_R,Forest,10,0,0,2,0,10,0
AFRICA_2024_GLC_FCS30D_2022_35PNP_M_R,Bareland,9,2,0,4,1,8,1
AFRICA_2024_ESRI_Annual_LULC_2024_35PNP_M_R,Grassland,0,3,0,3,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNP_M_R,Built-up,0,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNP_M_R,Cropland,0,0,0,5,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNP_M_R,Bareland,0,6,0,5,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNP_M_R,Forest,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNP_M_R,Grassland,0,3,5,0,2,0,0
AFRICA_2024_DynamicWorld_2024_35PNP_M_R,Bareland,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNP_M_R,Built-up,0,3,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNP_M_R,Forest,0,1,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNP_M_R,Cropland,0,0,4,0,0,0,0
