Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Water,Cropland,Non_Wetland,Shrubland,Non_Water
AFRICA_2024_WorldCover_2021_35NMD_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Grassland,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Cropland,5,0,7,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Wetland,8,0,1,7,3,4,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Bareland,1,0,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Built-up,6,0,0,5,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Forest,22,1,13,0,0,9,2,0,0,0
AFRICA_2024_WorldCover_2021_35NMD_M_R,Water,20,15,1,30,23,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMD_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMD_M_R,Forest,0,15,0,0,0,5,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMD_M_R,Water,0,19,0,0,0,0,0,11,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMD_M_R,Grassland,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Cropland,0,0,3,4,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Built-up,0,0,0,3,0,0,4,0,4,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Water,5,19,10,24,10,0,8,0,15,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Forest,3,15,6,0,5,5,16,0,15,0
AFRICA_2024_GLC_FCS30D_2022_35NMD_M_R,Grassland,0,2,0,2,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Built-up,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Forest,0,1,3,0,0,16,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Wetland,0,0,0,7,0,19,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Bareland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Grassland,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMD_M_R,Water,0,0,0,7,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NMD_M_R,Water,0,0,0,0,0,0,0,0,0,23
AFRICA_2024_GSW_Yearly_2021_35NMD_M_R,Wetland,0,0,0,0,0,4,0,0,0,8
AFRICA_2024_GSW_Yearly_2021_35NMD_M_R,Forest,0,0,0,0,0,13,0,0,0,8
AFRICA_2024_DynamicWorld_2024_35NMD_M_R,Wetland,1,0,0,4,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMD_M_R,Water,1,1,0,10,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMD_M_R,Forest,1,0,0,0,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMD_M_R,Built-up,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMD_M_R,Grassland,0,0,0,1,0,0,0,0,0,0
