Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36NVN_M_R,Shrubland,3,3,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Grassland,0,31,0,9,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Cropland,36,18,0,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Wetland,43,0,0,21,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Bareland,5,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Built-up,8,2,0,3,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Forest,61,64,2,0,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVN_M_R,Water,50,58,0,40,0,8,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Cropland,0,0,0,0,0,0,21,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Forest,0,14,0,0,8,0,84,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Wetland,0,0,0,0,2,0,71,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Built-up,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Water,0,17,0,0,0,0,49,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVN_M_R,Grassland,0,7,0,0,2,0,32,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Wetland,0,0,0,0,41,0,0,6,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Forest,0,0,0,0,58,0,0,13,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Cropland,0,0,0,0,9,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Built-up,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Grassland,0,0,0,0,20,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_36NVN_M_R,Water,0,0,0,0,0,0,0,31,0,0
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Water,4,17,8,30,0,19,0,0,54,9
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Cropland,0,0,1,14,0,7,0,0,26,0
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Wetland,0,0,0,19,2,12,0,0,30,1
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Built-up,1,0,0,5,0,0,0,0,7,0
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Forest,10,14,4,0,8,29,0,0,60,18
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Grassland,0,7,2,19,2,10,0,0,28,7
AFRICA_2024_GLC_FCS30D_2022_36NVN_M_R,Bareland,0,0,0,0,0,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Forest,0,6,4,0,29,0,0,0,0,17
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Grassland,0,0,1,21,13,0,0,0,0,17
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Wetland,0,0,0,40,27,0,0,0,0,11
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Cropland,0,3,3,7,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Water,0,3,0,37,0,0,0,0,0,3
AFRICA_2024_ESRI_Annual_LULC_2024_36NVN_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVN_M_R,Water,10,13,0,18,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36NVN_M_R,Wetland,11,0,0,14,13,0,0,0,0,10
AFRICA_2024_DynamicWorld_2024_36NVN_M_R,Forest,17,18,0,0,16,0,0,0,0,10
AFRICA_2024_DynamicWorld_2024_36NVN_M_R,Grassland,0,1,0,2,1,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_36NVN_M_R,Built-up,0,0,0,0,0,0,0,0,0,1
