Value,AFRICA_2024_DynamicWorld_2024_35PMT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PMT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PMT_M_R,AFRICA_2024_GSW_Yearly_2021_35PMT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PMT_M_R,AFRICA_2024_WorldCover_2021_35PMT_M_R
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
122,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
126,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
127,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
128,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
129,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
132,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
133,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
134,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
138,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
139,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
140,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
141,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
146,NULL,Bareland,Water,NULL,Water,Bareland
147,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
148,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
149,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
150,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
151,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
152,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
153,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
154,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
169,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
171,NULL,Water,NULL,NULL,Non_Wetland,Bareland
172,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
174,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
175,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Forest,NULL,NULL,Non_Wetland,NULL
177,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
178,NULL,Forest,NULL,NULL,Non_Wetland,Forest
179,NULL,Forest,NULL,Water,Non_Wetland,Grassland
180,NULL,Forest,NULL,Water,Non_Wetland,Forest
181,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
182,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
183,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
184,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
185,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
186,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
187,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
188,NULL,Forest,Forest,NULL,Non_Wetland,NULL
189,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
190,NULL,Forest,Forest,NULL,Non_Wetland,Forest
191,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
192,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
193,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
194,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
195,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
196,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
197,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
198,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
199,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
200,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
201,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
202,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
203,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
204,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
205,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
206,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
207,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
208,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
209,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
210,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
211,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
212,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
213,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
214,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
215,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
216,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
217,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
218,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
219,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
220,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
221,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
222,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
223,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
224,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
225,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
226,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
227,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
228,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
229,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
230,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
231,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
232,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
233,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
234,Forest,NULL,NULL,NULL,Non_Wetland,NULL
