Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Shrubland
AFRICA_2024_WorldCover_2021_36NVL_M_R,Shrubland,3,1,1,1,1,1,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Grassland,0,7,15,1,1,8,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Cropland,25,0,13,8,6,8,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Wetland,21,0,0,0,0,10,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Bareland,13,5,2,0,2,1,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Built-up,6,5,0,4,0,5,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Forest,43,17,23,14,14,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVL_M_R,Water,23,3,7,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Shrubland,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Cropland,0,0,0,0,0,0,14,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Bareland,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Forest,0,0,9,0,0,0,28,3,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Wetland,0,0,0,0,0,0,39,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Grassland,0,0,3,0,0,0,20,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,Water,0,0,0,0,0,0,7,0,0
AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,Shrubland,0,0,0,0,0,0,0,1,0
AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,Grassland,0,0,0,0,0,0,0,9,0
AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,Forest,0,0,0,0,0,0,0,5,0
AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,Wetland,0,0,0,0,0,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,Bareland,0,0,0,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Cropland,7,0,0,5,7,8,0,0,17
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Wetland,0,16,0,0,0,10,0,0,8
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Built-up,3,4,0,0,0,4,0,0,6
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Forest,16,21,9,13,17,0,0,3,35
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Grassland,0,13,3,8,0,7,0,0,15
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Bareland,3,1,0,0,1,3,0,0,10
AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,Water,2,5,0,3,0,12,0,0,12
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Grassland,0,3,5,1,1,27,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Cropland,0,0,2,0,5,17,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Forest,0,2,3,0,12,0,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Wetland,0,1,0,0,0,18,0,6,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Built-up,0,0,0,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Bareland,0,0,0,0,0,5,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,Water,0,0,1,2,0,7,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Cropland,2,0,0,0,0,3,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Wetland,15,8,0,0,0,6,0,7,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Forest,11,9,3,2,0,0,0,8,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Grassland,0,2,0,4,0,2,0,2,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Built-up,0,2,0,1,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVL_M_R,Water,0,0,0,0,0,1,0,0,0
