Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow,Non_Water
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Shrubland,1,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Grassland,0,2,1,3,1,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Cropland,16,0,6,22,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Wetland,24,13,0,28,0,11,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Lichens_and_Mosses,1,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Bareland,42,27,17,0,8,6,13,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Built-up,8,1,2,7,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Water,18,21,31,57,0,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PGQ_M_R,Forest,32,9,17,21,0,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Cropland,0,0,1,0,0,0,0,9,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Bareland,0,0,13,0,0,0,12,46,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Wetland,0,0,0,0,0,0,8,112,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Forest,0,0,3,0,0,0,9,49,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Built-up,0,0,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,Water,0,0,17,0,0,0,0,38,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Cropland,18,0,1,14,10,1,0,0,15,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Wetland,19,16,0,28,17,15,8,0,13,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Bareland,32,30,13,0,34,15,12,0,33,9,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Built-up,2,0,0,5,0,4,0,0,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Water,25,17,17,25,22,3,0,0,21,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Forest,18,17,3,25,19,0,9,0,18,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,Grassland,0,2,0,4,0,1,0,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Grassland,0,2,0,2,2,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Bareland,0,17,19,0,19,6,12,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Water,0,1,27,38,14,11,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Forest,0,4,27,4,14,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Cropland,0,0,3,9,0,3,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,Wetland,0,0,0,4,10,6,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Cropland,1,0,1,8,0,2,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Bareland,1,11,13,0,0,6,16,0,0,0,5,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Forest,1,0,8,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Grassland,0,2,1,4,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Wetland,0,7,0,9,0,10,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Water,0,0,13,15,0,12,0,0,0,0,4,0
AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,Built-up,0,0,4,4,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,Wetland,0,0,0,0,0,0,6,0,0,0,0,1
AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,Bareland,0,0,0,0,0,0,57,0,0,0,0,2
AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
