Value,AFRICA_2024_DynamicWorld_2024_37NGD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGD_M_R,AFRICA_2024_GSW_Yearly_2021_37NGD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGD_M_R,AFRICA_2024_WorldCover_2021_37NGD_M_R
122,NULL,Water,Cropland,Water,Non_Wetland,Bareland
123,NULL,Water,Wetland,NULL,Wetland,Grassland
124,NULL,Water,Wetland,Non_Water,Wetland,Grassland
125,NULL,Water,Wetland,Water,Wetland,Grassland
126,NULL,Water,Wetland,Water,Wetland,Bareland
127,NULL,Water,Wetland,Water,Wetland,Water
128,NULL,Water,Bareland,NULL,Non_Wetland,NULL
129,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
130,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
131,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
132,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
133,NULL,Water,Bareland,Water,Non_Wetland,Grassland
134,NULL,Water,Bareland,Water,Non_Wetland,Bareland
135,NULL,Water,Bareland,Water,Non_Wetland,Water
136,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
138,NULL,Water,Built-up,Water,Non_Wetland,Grassland
139,NULL,Water,Water,NULL,Water,NULL
140,NULL,Water,Water,NULL,Water,Grassland
141,NULL,Water,Water,NULL,Water,Bareland
142,NULL,Water,Water,NULL,Water,Water
143,NULL,Water,Water,Non_Water,Water,NULL
144,NULL,Water,Water,Non_Water,Water,Grassland
145,NULL,Water,Water,Water,Water,NULL
146,NULL,Water,Water,Water,Water,Grassland
147,NULL,Water,Water,Water,Water,Bareland
148,NULL,Water,Water,Water,Water,Water
149,NULL,Water,Forest,NULL,Non_Wetland,NULL
150,NULL,Forest,NULL,NULL,Non_Wetland,NULL
151,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
152,NULL,Forest,NULL,NULL,Non_Wetland,Forest
153,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
154,NULL,Forest,NULL,Water,Non_Wetland,Grassland
155,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
164,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
165,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
166,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
168,NULL,Forest,Grassland,NULL,Non_Wetland,Water
169,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
170,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
171,NULL,Forest,Grassland,Water,Non_Wetland,NULL
172,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
173,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
174,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
176,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
177,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
178,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
179,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
181,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
182,NULL,Forest,Forest,NULL,Non_Wetland,NULL
183,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
184,NULL,Forest,Forest,NULL,Non_Wetland,Forest
185,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
186,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
187,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
189,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
190,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
192,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
193,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
194,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
195,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
196,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
197,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
198,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
199,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
202,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
203,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
204,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
205,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
206,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
207,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
208,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
209,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
210,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
211,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
212,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
213,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
214,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
215,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
216,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
217,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
218,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
219,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
220,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
221,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
222,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
223,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
224,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
225,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
226,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
227,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
228,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
229,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
230,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
231,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
232,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
233,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
234,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
235,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
236,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
237,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
238,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
239,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
240,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
241,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
242,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
243,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
244,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
245,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
246,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
247,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
248,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
249,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
250,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
251,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
252,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
253,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
254,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
255,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
256,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
257,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
258,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
259,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
260,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
261,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
262,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
263,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
264,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
265,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
266,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
267,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
268,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
269,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
270,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
271,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
272,Wetland,Water,Cropland,Non_Water,Non_Wetland,Cropland
273,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
274,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
275,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
276,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
277,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
278,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
279,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
280,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
281,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
282,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
283,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
284,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
285,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
286,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
287,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
288,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
289,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
290,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
291,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
292,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
293,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
294,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
295,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Water,NULL,NULL,NULL,Non_Wetland,NULL
297,Water,NULL,NULL,NULL,Non_Wetland,Grassland
298,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
299,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
300,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
301,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
302,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
303,Water,NULL,Grassland,NULL,Non_Wetland,NULL
304,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
305,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
306,Water,NULL,Grassland,Water,Non_Wetland,Grassland
307,Water,NULL,Cropland,NULL,Non_Wetland,NULL
308,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
309,Water,NULL,Cropland,Non_Water,Non_Wetland,Grassland
310,Water,NULL,Cropland,Water,Non_Wetland,Grassland
311,Water,NULL,Bareland,NULL,Non_Wetland,NULL
312,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
313,Water,NULL,Water,NULL,Water,Grassland
314,Water,NULL,Water,Water,Water,Grassland
315,Water,NULL,Forest,NULL,Non_Wetland,NULL
316,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
317,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland
318,Water,Wetland,Cropland,NULL,Non_Wetland,Grassland
319,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
320,Water,Water,NULL,NULL,Non_Wetland,Grassland
321,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
322,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
323,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
324,Water,Water,Shrubland,Non_Water,Non_Wetland,Cropland
325,Water,Water,Shrubland,Water,Non_Wetland,Grassland
326,Water,Water,Grassland,NULL,Non_Wetland,Grassland
327,Water,Water,Grassland,NULL,Non_Wetland,Bareland
328,Water,Water,Grassland,NULL,Non_Wetland,Water
329,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
330,Water,Water,Grassland,Non_Water,Non_Wetland,Water
331,Water,Water,Grassland,Water,Non_Wetland,Grassland
332,Water,Water,Grassland,Water,Non_Wetland,Bareland
333,Water,Water,Grassland,Water,Non_Wetland,Water
334,Water,Water,Cropland,NULL,Non_Wetland,Grassland
335,Water,Water,Cropland,NULL,Non_Wetland,Cropland
336,Water,Water,Cropland,NULL,Non_Wetland,Bareland
337,Water,Water,Cropland,NULL,Non_Wetland,Water
338,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
339,Water,Water,Cropland,Non_Water,Non_Wetland,Cropland
340,Water,Water,Cropland,Non_Water,Non_Wetland,Water
341,Water,Water,Cropland,Water,Non_Wetland,Grassland
342,Water,Water,Cropland,Water,Non_Wetland,Water
343,Water,Water,Wetland,Water,Wetland,Grassland
344,Water,Water,Wetland,Water,Wetland,Bareland
345,Water,Water,Wetland,Water,Wetland,Water
346,Water,Water,Bareland,NULL,Non_Wetland,Grassland
347,Water,Water,Bareland,NULL,Non_Wetland,Water
348,Water,Water,Bareland,Water,Non_Wetland,Grassland
349,Water,Water,Bareland,Water,Non_Wetland,Bareland
350,Water,Water,Bareland,Water,Non_Wetland,Water
351,Water,Water,Water,NULL,Water,Grassland
352,Water,Water,Water,NULL,Water,Water
353,Water,Water,Water,Water,Water,Grassland
354,Water,Water,Water,Water,Water,Bareland
355,Water,Water,Water,Water,Water,Water
356,Water,Forest,NULL,NULL,Non_Wetland,NULL
357,Water,Forest,NULL,NULL,Non_Wetland,Grassland
358,Water,Forest,NULL,NULL,Non_Wetland,Forest
359,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
360,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
361,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
362,Water,Forest,Grassland,NULL,Non_Wetland,NULL
363,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
364,Water,Forest,Cropland,NULL,Non_Wetland,NULL
365,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
366,Water,Forest,Bareland,NULL,Non_Wetland,NULL
367,Water,Forest,Forest,NULL,Non_Wetland,NULL
368,Water,Forest,Forest,NULL,Non_Wetland,Grassland
369,Water,Forest,Forest,NULL,Non_Wetland,Forest
370,Forest,NULL,NULL,NULL,Non_Wetland,NULL
371,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
372,Forest,NULL,NULL,NULL,Non_Wetland,Forest
373,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
374,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
375,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
376,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
377,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
378,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
379,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
380,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
381,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
382,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
383,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
384,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
385,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
386,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
387,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
388,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
389,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
390,Forest,NULL,Forest,NULL,Non_Wetland,NULL
391,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
392,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
393,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
394,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
395,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
396,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
397,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
398,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
399,Forest,Forest,NULL,NULL,Non_Wetland,NULL
400,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
401,Forest,Forest,NULL,NULL,Non_Wetland,Forest
402,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
403,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
404,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
405,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
406,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
407,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
408,Forest,Forest,Grassland,Water,Non_Wetland,NULL
409,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
410,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
411,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
412,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
413,Forest,Forest,Water,NULL,Water,NULL
414,Forest,Forest,Forest,NULL,Non_Wetland,NULL
415,Forest,Forest,Forest,NULL,Non_Wetland,Forest
