Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Wetland,Cropland,Non_Wetland,Water,Shrubland,Non_Water
AFRICA_2024_WorldCover_2021_35NQF_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Grassland,0,0,0,7,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Cropland,20,0,9,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Wetland,6,0,0,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Bareland,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Built-up,8,1,0,6,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Forest,35,1,16,0,16,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQF_M_R,Water,13,2,0,8,3,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,Forest,0,0,0,0,5,0,25,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,Wetland,0,0,0,0,0,0,10,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,Grassland,0,0,0,0,0,0,7,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQF_M_R,Water,0,0,0,0,8,0,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Cropland,1,0,2,13,0,0,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Wetland,0,0,0,6,0,0,0,0,4,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Built-up,2,0,0,4,0,5,0,0,7,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Forest,9,7,11,0,5,20,0,1,27,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Grassland,0,2,2,6,0,8,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_35NQF_M_R,Water,0,0,2,8,8,0,0,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Forest,0,0,17,0,5,13,0,7,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Cropland,0,0,10,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Grassland,0,0,0,14,0,4,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Wetland,0,0,0,6,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQF_M_R,Water,0,0,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQF_M_R,Forest,10,1,0,0,4,5,0,7,0,0
AFRICA_2024_DynamicWorld_2024_35NQF_M_R,Cropland,1,0,0,7,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQF_M_R,Grassland,0,0,0,1,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQF_M_R,Built-up,0,0,0,7,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQF_M_R,Wetland,0,0,0,2,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35NQF_M_R,Water,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GSW_Yearly_2021_35NQF_M_R,Forest,0,0,0,0,0,0,0,1,0,1
