Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Shrubland,Built-up,Lichens_and_Mosses,Wetland,Non_Wetland,Water,Non_Water
AFRICA_2024_WorldCover_2021_35QQU_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Grassland,0,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Cropland,20,0,12,15,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Bareland,24,11,0,13,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Built-up,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Forest,15,4,3,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QQU_M_R,Water,12,5,12,6,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QQU_M_R,Cropland,11,0,5,9,17,11,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QQU_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QQU_M_R,Bareland,15,5,0,6,17,12,4,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QQU_M_R,Forest,7,12,3,0,10,9,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QQU_M_R,Water,6,3,5,5,10,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QQU_M_R,Grassland,0,3,2,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QQU_M_R,Bareland,0,20,0,10,0,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QQU_M_R,Cropland,0,0,3,3,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QQU_M_R,Water,0,10,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QQU_M_R,Forest,0,5,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35QQU_M_R,Bareland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35QQU_M_R,Wetland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_35QQU_M_R,Grassland,0,2,3,1,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_35QQU_M_R,Bareland,0,5,0,0,0,0,0,0,0,9,0
AFRICA_2024_DynamicWorld_2024_35QQU_M_R,Forest,0,6,7,0,0,0,0,0,0,3,0
AFRICA_2024_DynamicWorld_2024_35QQU_M_R,Cropland,0,0,5,1,0,0,0,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_35QQU_M_R,Water,0,0,0,0,0,0,0,0,0,0,6
