Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NQG_M_R,Shrubland,3,1,3,1,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Cropland,7,0,4,2,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Wetland,32,0,0,0,0,18,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Built-up,6,0,0,2,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Forest,49,10,28,4,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Grassland,0,0,10,0,0,4,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Water,17,0,19,0,0,11,0,0,0,0
AFRICA_2024_WorldCover_2021_35NQG_M_R,Bareland,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Forest,0,0,10,0,0,0,45,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Wetland,0,0,0,0,0,0,54,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Grassland,0,0,5,0,0,0,15,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Cropland,0,0,0,0,0,0,7,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,Water,0,0,3,0,0,0,14,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Wetland,0,0,0,0,0,0,0,21,4,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Forest,0,0,0,0,0,0,0,17,3,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Grassland,0,0,0,0,0,0,0,6,0,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Water,0,0,0,0,0,0,0,0,11,0
AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,Cropland,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Cropland,0,0,0,0,1,10,0,0,0,10
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Wetland,0,0,0,1,0,18,0,1,0,28
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Built-up,0,1,0,0,0,3,0,0,0,4
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Forest,1,7,10,10,6,0,0,2,0,48
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Grassland,0,0,5,3,0,12,0,0,0,18
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Bareland,0,0,0,0,0,1,0,0,0,2
AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,Water,0,0,3,1,0,12,0,0,0,24
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Forest,0,1,14,0,8,0,0,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Grassland,0,0,5,0,0,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Wetland,0,0,0,0,0,29,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Water,0,0,3,0,0,12,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Cropland,0,0,3,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,Bareland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQG_M_R,Wetland,9,4,0,0,0,13,0,16,0,0
AFRICA_2024_DynamicWorld_2024_35NQG_M_R,Water,4,0,3,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NQG_M_R,Forest,12,4,5,1,0,0,0,10,0,0
AFRICA_2024_DynamicWorld_2024_35NQG_M_R,Grassland,0,0,0,0,0,1,0,0,0,0
