Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37NGF_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Grassland,0,12,3,1,9,2,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Cropland,54,0,12,4,56,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Wetland,33,15,2,0,22,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Lichens_and_Mosses,1,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Bareland,37,18,0,6,17,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Built-up,6,2,4,0,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Water,79,49,46,0,68,0,19,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGF_M_R,Forest,43,24,10,9,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Grassland,0,0,0,0,0,17,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Cropland,0,0,0,0,0,51,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Wetland,0,0,0,0,0,14,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Bareland,0,0,0,0,0,30,0,16,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Water,0,0,0,0,0,0,0,76,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,Forest,0,0,0,0,0,46,0,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Cropland,46,0,22,6,12,3,12,0,48,1,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Bareland,41,24,0,12,2,1,7,0,38,4,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Built-up,7,4,3,0,1,0,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Water,54,48,43,21,23,0,30,0,52,3,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Forest,42,41,30,11,0,0,9,0,49,6,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Grassland,0,13,5,0,1,0,0,0,17,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,Wetland,16,22,14,2,5,0,0,0,26,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Grassland,0,18,2,4,18,19,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Forest,0,18,0,8,0,32,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Bareland,0,6,0,8,13,44,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Cropland,0,0,1,8,21,37,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Wetland,0,10,0,0,16,30,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,Water,0,14,7,0,2,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Water,0,0,0,0,0,0,30,0,0,0,24
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,13
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Cropland,0,0,0,0,0,3,12,0,0,0,10
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,96
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Bareland,0,0,0,0,0,1,7,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,Forest,0,0,0,0,0,0,9,0,0,0,15
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Cropland,3,0,12,0,14,13,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Bareland,2,2,0,0,2,6,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Forest,6,6,1,0,0,3,11,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Water,1,10,16,0,9,0,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Grassland,0,9,9,0,8,4,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Wetland,0,6,4,0,4,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGF_M_R,Built-up,0,2,1,0,0,0,0,0,0,0,0
