Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Shrubland,Lichens_and_Mosses,Non_Water
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Shrubland,1,1,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Grassland,0,2,3,1,1,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Cropland,17,0,1,6,8,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Wetland,5,0,0,2,1,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Bareland,1,0,0,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Built-up,9,7,1,6,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Forest,31,24,13,5,18,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTJ_M_R,Water,27,9,3,10,8,22,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Forest,0,0,9,0,0,0,14,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Wetland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Water,0,0,3,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTJ_M_R,Grassland,0,0,2,0,0,0,3,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Cropland,4,0,0,4,5,11,0,0,12,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Wetland,0,1,0,1,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Bareland,1,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Built-up,6,8,0,3,0,7,0,0,7,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Water,5,19,3,10,15,18,0,0,25,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Forest,7,27,9,8,13,0,0,1,29,1,0
AFRICA_2024_GLC_FCS30D_2022_36NTJ_M_R,Grassland,0,6,2,0,0,6,0,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Grassland,0,2,0,0,2,7,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Wetland,0,4,0,0,2,8,0,8,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Built-up,0,1,0,0,0,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Forest,0,13,1,0,19,0,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Cropland,0,0,0,0,4,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Bareland,0,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NTJ_M_R,Water,0,9,0,0,14,15,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,Water,0,0,0,0,0,0,0,0,0,0,10
AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,Wetland,0,0,0,0,0,0,0,1,0,0,3
AFRICA_2024_GSW_Yearly_2021_36NTJ_M_R,Forest,0,0,0,0,0,0,0,2,0,0,5
AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,Cropland,2,0,0,0,0,7,0,11,0,0,0
AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,Wetland,2,0,0,0,0,4,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,Forest,9,4,0,0,0,0,0,17,0,0,0
AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,Built-up,0,1,0,0,0,3,0,12,0,0,0
AFRICA_2024_DynamicWorld_2024_36NTJ_M_R,Grassland,0,0,0,0,0,1,0,2,0,0,0
