Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PUA_M_R,Shrubland,3,3,1,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Grassland,0,6,3,2,2,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Cropland,59,0,32,50,10,14,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Wetland,45,58,2,48,0,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Bareland,34,24,0,13,6,8,7,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Built-up,11,12,8,7,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Forest,26,18,1,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUA_M_R,Water,25,38,22,25,0,20,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Grassland,0,0,0,0,0,0,11,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Cropland,0,0,0,0,0,0,55,13,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Bareland,0,0,0,0,0,0,36,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Wetland,0,0,0,0,0,0,37,16,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Water,0,0,0,0,0,0,0,41,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUA_M_R,Forest,0,0,0,0,0,0,4,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Grassland,0,0,0,0,0,0,0,0,20,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Wetland,0,0,0,0,0,0,2,0,156,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Cropland,0,0,0,0,0,14,0,0,74,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Water,0,0,0,0,0,16,0,0,52,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Forest,0,0,0,0,0,4,0,0,30,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUA_M_R,Bareland,0,0,0,0,0,1,1,0,15,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Cropland,62,0,15,17,27,14,0,0,0,43,2
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Wetland,38,31,1,26,8,0,2,0,0,36,0
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Bareland,50,16,0,0,20,1,1,0,0,20,3
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Built-up,12,4,3,0,0,0,0,0,0,1,1
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Forest,24,21,0,0,5,4,0,0,0,24,1
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUA_M_R,Water,52,47,22,7,8,16,0,0,0,15,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Grassland,0,9,5,5,8,11,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Wetland,0,36,0,1,3,0,23,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Cropland,0,0,3,6,19,42,7,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Bareland,0,23,0,1,16,7,11,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Forest,0,24,0,0,1,27,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUA_M_R,Water,0,5,3,0,0,38,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Wetland,8,16,2,11,0,0,32,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Water,1,1,6,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Grassland,0,10,14,5,0,8,8,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Bareland,0,6,0,0,0,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Built-up,0,10,12,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Forest,0,7,0,0,0,3,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUA_M_R,Cropland,0,0,23,16,0,19,18,0,0,0,0
