Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37NHG_M_R,Shrubland,3,2,2,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Grassland,0,10,2,1,6,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Cropland,83,0,56,2,61,0,16,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Wetland,60,18,21,0,44,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Lichens_and_Mosses,1,0,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Bareland,59,27,0,10,37,0,8,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Built-up,8,4,6,0,6,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Water,100,67,87,0,74,0,32,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHG_M_R,Forest,73,32,25,3,0,2,20,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Grassland,0,0,0,0,0,14,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Cropland,0,0,0,0,0,72,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Wetland,0,0,0,0,0,42,0,15,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Bareland,0,0,0,0,0,42,0,23,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Water,0,0,0,0,0,0,0,78,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHG_M_R,Forest,0,0,0,0,0,44,0,19,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Cropland,0,0,0,0,0,19,30,0,27,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Wetland,0,0,0,0,0,0,0,0,49,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Grassland,0,0,0,0,0,1,4,0,8,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Bareland,0,0,0,0,0,17,25,0,6,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Water,0,0,0,0,0,0,33,0,25,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHG_M_R,Forest,0,0,0,0,0,11,26,0,31,0,0
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Cropland,59,0,28,9,19,19,30,0,0,49,11
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Wetland,12,19,4,0,1,0,0,0,0,8,1
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Bareland,51,41,0,18,10,17,25,0,0,40,8
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Built-up,6,5,3,0,4,0,0,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Water,50,50,31,8,17,0,33,0,0,35,5
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Forest,58,56,29,11,0,11,26,0,0,47,13
AFRICA_2024_GLC_FCS30D_2022_37NHG_M_R,Grassland,0,11,0,0,3,1,4,0,0,9,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Grassland,0,22,6,4,19,11,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Wetland,0,53,10,0,15,40,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Water,0,74,31,0,4,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Forest,0,53,3,16,0,38,5,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Cropland,0,0,10,19,29,30,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHG_M_R,Bareland,0,43,0,10,16,42,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Cropland,7,0,27,0,31,22,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Wetland,3,27,26,0,27,23,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Forest,6,11,9,0,0,11,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Grassland,0,9,11,0,11,7,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Bareland,0,15,0,0,6,10,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Water,0,23,41,0,24,0,16,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHG_M_R,Built-up,0,1,4,0,0,0,0,0,0,0,0
