Dataset,MajorityClass,Grassland,Cropland,Wetland,Built-up,Forest,Water,Bareland,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_36NWP_M_R,Shrubland,3,1,3,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Grassland,0,0,43,2,21,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Cropland,47,0,26,4,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Wetland,67,0,0,0,45,10,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Bareland,11,0,2,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Built-up,18,0,1,0,8,3,3,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Water,87,0,104,3,70,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NWP_M_R,Forest,81,0,73,5,0,7,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Cropland,0,0,0,0,0,0,0,32,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Bareland,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Forest,0,0,22,0,0,7,0,116,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Wetland,0,0,0,0,0,9,0,166,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Built-up,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Water,0,0,21,0,0,0,0,95,0,0
AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,Grassland,0,0,8,0,0,1,0,59,0,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Grassland,0,0,0,0,0,30,0,0,3,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Cropland,0,0,0,0,0,15,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Wetland,0,0,0,0,0,74,0,0,21,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Bareland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Built-up,0,0,0,0,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Forest,0,0,0,0,0,70,0,0,13,0
AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,Water,0,0,0,0,0,0,0,0,49,0
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Cropland,1,0,0,4,20,0,11,0,0,34
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Wetland,1,9,0,1,38,9,32,0,0,55
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Built-up,3,4,0,0,3,0,3,0,0,8
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Water,1,15,21,5,43,0,41,0,0,70
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Forest,5,14,22,10,0,7,36,0,0,66
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Grassland,0,13,8,7,22,1,26,0,0,37
AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,Bareland,0,1,0,1,0,0,0,0,0,6
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Grassland,0,17,16,4,31,18,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Water,0,23,47,7,32,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Forest,0,21,27,8,0,35,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Wetland,0,17,0,3,43,41,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Cropland,0,0,6,3,7,7,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWP_M_R,Water,32,6,28,0,39,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWP_M_R,Wetland,43,12,0,0,40,36,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWP_M_R,Forest,29,10,21,0,0,18,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWP_M_R,Grassland,0,2,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NWP_M_R,Built-up,0,2,0,0,3,1,0,0,0,0
