Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Non_Wetland,Water,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_35NPG_M_R,Shrubland,3,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Cropland,5,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Wetland,38,0,0,16,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Built-up,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Water,37,12,9,34,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Forest,42,8,5,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NPG_M_R,Bareland,3,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,Forest,0,15,0,0,0,17,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,Wetland,0,0,0,0,0,30,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NPG_M_R,Water,0,17,0,0,0,10,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,Wetland,0,0,0,0,0,0,9,11,0,0
AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,Forest,0,0,0,0,0,0,20,14,0,0
AFRICA_2024_GSW_Yearly_2021_35NPG_M_R,Water,0,0,0,0,0,0,0,31,0,0
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Built-up,0,0,0,1,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Water,0,17,4,21,2,0,0,0,40,1
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Forest,2,15,11,0,5,0,5,0,38,5
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Grassland,0,0,0,3,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Cropland,0,0,0,2,0,0,0,0,2,0
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Wetland,0,0,0,9,0,0,0,0,17,0
AFRICA_2024_GLC_FCS30D_2022_35NPG_M_R,Bareland,0,0,0,1,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,Forest,0,1,0,0,2,0,24,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,Wetland,0,0,0,11,0,0,22,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,Grassland,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,Cropland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NPG_M_R,Water,0,0,0,10,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPG_M_R,Forest,2,8,1,0,0,0,16,0,0,2
AFRICA_2024_DynamicWorld_2024_35NPG_M_R,Water,0,3,0,11,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPG_M_R,Wetland,0,0,0,11,0,0,13,0,0,0
AFRICA_2024_DynamicWorld_2024_35NPG_M_R,Grassland,0,0,0,1,0,0,0,0,0,0
