Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37NGH_M_R,Shrubland,3,2,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Grassland,0,4,3,1,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Cropland,51,0,17,11,23,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Lichens_and_Mosses,1,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Bareland,35,5,0,6,7,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Built-up,8,7,6,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Water,41,22,29,0,16,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Forest,46,20,17,3,0,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NGH_M_R,Wetland,6,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Grassland,0,0,0,0,0,5,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Cropland,0,0,0,0,0,17,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Bareland,0,0,0,0,0,10,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Forest,0,0,0,0,0,8,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,Water,0,0,0,0,0,0,0,12,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Cropland,24,0,29,17,16,3,1,0,38,13,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Bareland,23,18,0,7,6,0,0,0,26,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Built-up,6,4,4,0,3,0,0,0,8,1,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Water,23,22,25,3,12,0,5,0,32,1,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Forest,25,28,22,14,0,0,0,0,37,13,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Grassland,0,5,1,0,5,0,0,0,5,0,0
AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,Wetland,0,4,1,0,0,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Grassland,0,12,1,4,6,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Forest,0,19,0,8,0,25,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Cropland,0,0,0,15,25,11,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Bareland,0,11,0,11,19,19,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Water,0,7,0,0,9,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,Wetland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Cropland,5,0,9,0,10,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Forest,2,8,8,0,0,9,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Grassland,0,6,8,0,3,4,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Water,0,6,1,0,6,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Bareland,0,1,0,0,2,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NGH_M_R,Built-up,0,2,4,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,Cropland,0,0,0,0,0,3,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,6
AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,Water,0,0,0,0,0,0,5,0,0,0,1
