Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_35NMH_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMH_M_R,Cropland,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMH_M_R,Wetland,2,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMH_M_R,Built-up,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMH_M_R,Forest,29,12,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMH_M_R,Water,3,0,0,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMH_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMH_M_R,Forest,0,6,0,0,0,12,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMH_M_R,Water,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NMH_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NMH_M_R,Wetland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NMH_M_R,Forest,0,0,0,0,0,0,19,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,Built-up,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,Forest,2,6,4,1,0,0,2,0,30,4
AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,Grassland,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMH_M_R,Water,0,1,0,0,2,0,0,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMH_M_R,Forest,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMH_M_R,Wetland,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMH_M_R,Grassland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMH_M_R,Forest,3,0,0,0,0,0,2,0,0,0
