Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PXR_M_R,Shrubland,3,3,3,1,2,2,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Grassland,0,39,28,2,3,5,19,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Cropland,60,0,29,12,15,12,33,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Wetland,60,61,0,6,0,20,51,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Lichens_and_Mosses,1,1,0,0,0,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Bareland,22,9,5,0,0,3,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Built-up,9,8,1,4,0,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Water,68,87,35,37,0,0,62,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXR_M_R,Forest,65,59,32,11,13,6,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Grassland,0,0,6,0,0,1,0,51,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Bareland,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Forest,0,0,18,0,0,5,0,74,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Cropland,0,0,6,0,0,6,0,53,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Wetland,0,0,0,0,0,7,0,172,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXR_M_R,Water,0,0,18,0,0,0,0,68,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Shrubland,0,0,0,0,0,5,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Cropland,0,0,0,0,0,44,0,0,11,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Wetland,0,0,0,0,0,57,0,0,7,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Forest,0,0,0,0,0,56,0,0,9,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Grassland,0,0,0,0,0,35,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_36PXR_M_R,Water,0,0,0,0,0,0,0,0,62,0,0
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Cropland,23,0,6,34,20,6,49,0,0,74,5
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Water,18,19,18,48,16,0,51,0,0,78,0
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Wetland,9,4,0,31,10,7,36,0,0,60,0
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Bareland,4,2,0,0,1,0,7,0,0,12,0
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Built-up,5,4,0,3,0,0,6,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Forest,15,19,18,32,26,5,0,0,0,74,1
AFRICA_2024_GLC_FCS30D_2022_36PXR_M_R,Grassland,0,9,6,23,5,1,31,0,0,46,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Water,0,40,52,1,0,0,8,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Grassland,0,37,21,1,6,18,25,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Built-up,0,1,0,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Forest,0,35,34,0,20,39,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Cropland,0,0,11,0,15,14,20,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Wetland,0,16,0,1,2,35,15,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXR_M_R,Bareland,0,6,0,0,1,9,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Water,25,22,57,3,0,0,18,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Cropland,19,0,15,5,0,16,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Wetland,20,11,0,0,0,15,18,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Forest,21,14,10,3,0,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Grassland,0,4,3,3,0,4,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Bareland,0,1,4,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXR_M_R,Built-up,0,4,0,0,0,0,6,0,0,0,0
