Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36NUP_M_R,Shrubland,3,3,2,3,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Grassland,0,28,5,1,1,12,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Cropland,37,24,10,7,3,17,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Wetland,46,0,13,8,12,37,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Bareland,15,5,0,9,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Built-up,10,11,6,0,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Water,58,74,46,8,0,44,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUP_M_R,Forest,57,62,18,10,11,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Grassland,0,2,0,0,3,0,39,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Cropland,0,2,0,0,0,0,30,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Bareland,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Built-up,0,0,0,0,0,0,13,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Forest,0,20,0,0,9,0,103,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Wetland,0,0,0,0,10,0,175,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUP_M_R,Water,0,12,0,0,0,0,61,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Shrubland,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Grassland,0,0,0,0,20,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Cropland,0,0,0,0,19,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Bareland,0,0,0,0,15,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Water,0,0,0,0,0,0,0,15,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Forest,0,0,0,0,78,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Wetland,0,0,0,0,55,0,0,7,0,0
AFRICA_2024_GSW_Yearly_2021_36NUP_M_R,Built-up,0,0,0,0,9,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Water,13,12,30,17,0,25,0,0,70,14
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Cropland,9,2,8,7,0,10,0,0,41,0
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Wetland,8,0,16,10,10,27,0,0,73,7
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Bareland,7,0,0,5,0,2,0,0,18,7
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Built-up,5,0,6,0,0,3,0,0,10,5
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Forest,9,20,13,12,9,0,0,0,83,9
AFRICA_2024_GLC_FCS30D_2022_36NUP_M_R,Grassland,0,2,7,5,3,13,0,0,27,3
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Grassland,0,9,0,2,1,22,0,0,0,11
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Built-up,0,1,1,0,0,0,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Water,0,41,2,16,0,38,0,0,0,12
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Forest,0,29,0,11,10,0,0,0,0,10
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Wetland,0,0,0,5,17,39,0,0,0,8
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Bareland,0,0,0,5,5,2,0,0,0,4
AFRICA_2024_ESRI_Annual_LULC_2024_36NUP_M_R,Cropland,0,6,0,6,0,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Water,11,16,0,0,0,25,0,0,0,10
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Wetland,21,0,0,0,28,32,0,0,0,12
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Forest,20,18,3,0,13,0,0,0,0,16
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Grassland,0,2,2,0,2,3,0,0,0,4
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Built-up,0,1,5,0,1,1,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Bareland,0,0,0,0,3,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NUP_M_R,Cropland,0,0,0,0,1,0,0,0,0,0
