Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35PNM_M_R,Shrubland,3,3,3,2,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Grassland,0,15,18,3,1,7,1,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Cropland,26,0,14,1,0,7,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Wetland,53,33,0,1,0,36,1,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Bareland,26,15,10,0,1,3,1,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Built-up,7,6,0,3,0,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Water,47,15,24,16,0,23,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNM_M_R,Forest,48,31,28,5,4,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Grassland,0,0,5,0,0,0,0,22,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Cropland,0,0,9,0,0,0,0,15,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Bareland,0,0,3,0,0,0,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Forest,0,0,19,0,0,0,1,48,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Wetland,0,0,0,0,0,0,3,84,0,0
AFRICA_2024_GWL_FCS30D_2022_35PNM_M_R,Water,0,0,17,0,0,0,0,23,0,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Grassland,0,0,0,0,0,0,12,0,2,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Cropland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Wetland,0,0,0,0,0,0,41,0,5,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Bareland,0,0,0,0,0,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Water,0,0,0,0,0,0,0,0,26,0
AFRICA_2024_GSW_Yearly_2021_35PNM_M_R,Forest,0,0,0,0,0,0,33,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Cropland,17,0,9,3,1,11,0,0,0,27
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Wetland,8,10,0,4,0,18,3,0,0,28
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Built-up,6,0,0,1,0,3,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Water,15,8,17,8,2,13,0,0,0,34
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Forest,29,15,19,14,8,0,1,0,0,57
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Grassland,0,0,5,6,0,8,0,0,0,24
AFRICA_2024_GLC_FCS30D_2022_35PNM_M_R,Bareland,12,4,3,0,5,13,0,0,0,14
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Grassland,0,8,1,0,3,20,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Forest,0,10,7,0,2,0,5,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Wetland,0,5,0,0,0,43,6,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Water,0,0,1,0,1,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Cropland,0,0,0,0,2,11,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNM_M_R,Bareland,0,3,0,0,7,1,3,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Wetland,13,12,0,10,0,13,16,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Forest,8,5,13,1,0,0,6,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Cropland,3,0,1,1,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Grassland,0,5,3,5,0,4,2,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Water,0,0,10,6,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Built-up,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNM_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
