Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_36PZB_M_R,Shrubland,3,2,3,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Grassland,0,7,3,8,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Cropland,98,0,62,80,15,12,18,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Wetland,61,39,16,80,0,0,8,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Lichens_and_Mosses,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Bareland,71,47,0,32,15,3,20,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Built-up,18,10,13,12,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Forest,60,28,12,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PZB_M_R,Water,83,77,76,77,5,19,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Grassland,0,0,0,0,0,0,14,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Cropland,0,0,0,0,0,0,115,23,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Wetland,0,0,0,0,0,0,74,21,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Bareland,0,0,0,0,0,0,86,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Built-up,0,0,0,0,0,0,6,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Forest,0,0,0,0,0,0,27,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,Water,0,0,0,0,0,0,0,88,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Cropland,76,0,54,31,35,23,5,0,56,21,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Wetland,27,29,11,5,3,0,1,0,12,0,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Bareland,60,46,0,18,38,13,2,0,43,14,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Built-up,12,11,8,1,0,0,0,0,9,3,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Water,81,74,66,34,40,51,0,0,50,4,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Forest,41,48,18,0,9,17,0,0,28,8,0
AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,Grassland,0,5,0,0,0,0,0,0,3,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Grassland,0,17,5,5,16,4,12,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Wetland,0,34,1,11,28,0,34,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Bareland,0,55,0,16,41,2,41,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Built-up,0,3,1,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Water,0,69,26,1,37,17,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Forest,0,39,1,0,24,4,15,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,Cropland,0,0,24,26,38,16,35,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Cropland,0,0,0,0,0,23,5,0,0,0,55
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,92
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Water,0,0,0,0,0,51,0,0,0,0,42
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,14
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Forest,0,0,0,0,0,17,0,0,0,0,17
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Bareland,0,0,0,0,0,13,2,0,0,0,6
AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Cropland,10,0,30,21,0,27,23,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Wetland,2,20,15,8,0,0,31,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Forest,3,13,9,0,0,13,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Water,1,26,40,5,0,16,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Grassland,0,13,13,10,0,10,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Bareland,0,15,0,2,0,1,14,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PZB_M_R,Built-up,0,7,12,2,0,2,6,0,0,0,0
