Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Non_Water,Shrubland,Wetland,Lichens_and_Mosses,Non_Wetland
AFRICA_2024_WorldCover_2021_37PCS_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Grassland,0,10,2,2,6,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Cropland,42,0,28,1,30,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Wetland,3,12,0,2,10,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Lichens_and_Mosses,1,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Bareland,46,40,0,19,23,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Built-up,11,8,7,1,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Water,45,38,39,0,40,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PCS_M_R,Forest,37,31,20,5,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Grassland,0,0,0,5,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Cropland,0,0,0,10,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Wetland,0,0,0,5,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Bareland,0,0,0,32,0,0,18,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Forest,0,0,0,9,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PCS_M_R,Water,0,0,0,0,0,0,47,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Water,40,47,33,0,14,19,0,27,26,4,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Cropland,31,0,13,0,14,10,0,29,2,4,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Bareland,41,38,0,1,10,19,0,33,10,8,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Built-up,6,5,2,0,3,0,0,6,0,3,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Forest,30,32,16,0,0,13,0,34,10,7,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Grassland,0,5,3,0,4,0,0,5,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PCS_M_R,Wetland,2,4,1,0,1,0,0,5,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Grassland,0,4,4,5,14,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Forest,0,17,3,25,0,9,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Cropland,0,0,10,17,21,19,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Bareland,0,19,0,44,19,16,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Wetland,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PCS_M_R,Water,0,0,12,0,1,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,Forest,0,0,0,0,0,0,0,0,10,0,3
AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,Cropland,0,0,0,0,0,0,0,0,2,0,2
AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,16
AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,Bareland,0,0,0,1,0,0,0,0,10,0,1
AFRICA_2024_GWL_FCS30D_2022_37PCS_M_R,Water,0,0,0,0,0,0,0,0,26,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Cropland,2,0,15,8,9,0,0,0,1,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Forest,7,10,8,2,0,0,0,0,3,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Grassland,0,7,8,4,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Wetland,0,1,6,2,2,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Bareland,0,9,0,13,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Built-up,0,1,6,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PCS_M_R,Water,0,0,23,0,2,0,0,0,0,0,0
