Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Shrubland,Lichens_and_Mosses,Wetland,Water,Non_Water,Non_Wetland
AFRICA_2024_WorldCover_2021_36PUC_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Grassland,0,2,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Cropland,16,0,17,17,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Bareland,25,16,0,5,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Built-up,7,1,5,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Water,0,4,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUC_M_R,Forest,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Cropland,22,0,15,2,7,13,9,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Bareland,20,12,0,3,12,14,3,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Built-up,4,3,4,0,0,2,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Forest,4,3,1,0,2,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Wetland,1,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUC_M_R,Water,3,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,Grassland,0,2,1,0,3,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,Bareland,0,11,0,1,15,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,Cropland,0,0,3,0,10,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUC_M_R,Forest,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUC_M_R,Grassland,0,3,5,1,0,0,0,1,1,0,0
AFRICA_2024_DynamicWorld_2024_36PUC_M_R,Bareland,0,6,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUC_M_R,Forest,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUC_M_R,Cropland,0,0,11,0,0,0,0,0,2,0,0
AFRICA_2024_DynamicWorld_2024_36PUC_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUC_M_R,Cropland,0,0,0,0,0,0,0,0,2,1,0
AFRICA_2024_GSW_Yearly_2021_36PUC_M_R,Bareland,0,0,0,0,0,0,0,0,8,0,0
AFRICA_2024_GSW_Yearly_2021_36PUC_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PUC_M_R,Water,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_36PUC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_36PUC_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_36PUC_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1
