Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_36NUM_M_R,Shrubland,3,3,3,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Grassland,0,36,4,3,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Cropland,44,38,11,9,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Wetland,51,0,7,5,18,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Bareland,22,11,0,7,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Built-up,23,22,14,0,9,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Forest,63,84,30,23,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Water,62,123,40,6,22,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NUM_M_R,Permanent_ice_and_snow,3,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Grassland,0,2,0,0,0,46,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Cropland,0,0,0,0,0,45,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Bareland,0,0,0,0,0,12,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Built-up,0,0,0,0,0,25,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Forest,0,9,0,0,0,112,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Wetland,0,0,0,0,0,166,12,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NUM_M_R,Water,0,15,0,0,0,91,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Grassland,0,0,0,0,0,0,15,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Cropland,0,0,0,0,0,0,11,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Wetland,0,0,0,0,0,0,59,13,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Bareland,0,0,0,0,0,0,13,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Built-up,0,0,0,0,0,0,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Forest,0,0,0,0,0,0,33,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Water,0,0,0,0,0,0,0,29,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NUM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Cropland,9,0,11,9,16,0,0,0,28,0,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Wetland,2,0,24,6,37,0,12,0,52,18,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Bareland,8,0,0,3,13,0,0,0,28,3,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Built-up,9,0,6,0,10,0,0,0,17,8,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Water,19,15,30,19,35,0,0,0,60,17,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Forest,18,9,18,21,0,0,2,0,68,30,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Grassland,0,2,9,5,13,0,0,0,23,10,0
AFRICA_2024_GLC_FCS30D_2022_36NUM_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Grassland,0,9,0,9,23,0,11,0,0,9,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Built-up,0,3,0,0,1,0,0,0,0,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Forest,0,27,0,35,0,0,24,0,0,19,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Bareland,0,1,0,7,14,0,15,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Water,0,32,12,20,27,0,0,0,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Wetland,0,0,1,14,31,0,35,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Cropland,0,8,0,12,12,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NUM_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Wetland,30,0,0,0,33,0,30,0,0,23,0
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Built-up,2,0,5,0,9,0,3,0,0,10,0
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Water,15,8,1,0,11,0,0,0,0,5,0
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Forest,11,6,6,0,0,0,12,0,0,12,1
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Grassland,0,1,3,0,7,0,4,0,0,4,0
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Bareland,0,0,0,0,1,0,6,0,0,3,1
AFRICA_2024_DynamicWorld_2024_36NUM_M_R,Cropland,0,0,0,0,3,0,0,0,0,0,0
