Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NYK_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Grassland,0,4,7,3,7,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Cropland,51,0,18,28,38,8,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Wetland,12,0,0,2,10,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Lichens_and_Mosses,1,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Bareland,35,0,4,0,17,6,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Built-up,12,1,0,5,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Water,29,1,2,20,16,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NYK_M_R,Forest,34,3,18,14,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Grassland,0,0,0,0,0,0,0,10,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Cropland,0,0,3,0,0,0,0,21,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Bareland,0,0,1,0,0,0,0,8,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Forest,0,0,10,0,0,0,2,18,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Wetland,0,0,0,0,0,0,0,16,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NYK_M_R,Water,0,0,7,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Grassland,0,0,0,0,0,0,3,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Bareland,0,0,0,0,0,0,14,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Cropland,0,0,0,0,0,0,10,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Wetland,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Forest,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NYK_M_R,Water,0,0,0,0,0,0,0,0,9,0,0
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Cropland,34,0,3,31,14,24,0,0,0,27,8
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Bareland,26,13,1,0,7,16,0,0,0,18,0
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Built-up,6,4,0,4,3,0,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Water,26,7,7,36,2,12,0,0,0,12,1
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Forest,27,21,10,25,0,13,2,0,0,30,8
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Grassland,0,5,0,6,4,4,0,0,0,8,1
AFRICA_2024_GLC_FCS30D_2022_36NYK_M_R,Wetland,1,0,0,9,0,2,0,0,0,3,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Grassland,0,7,3,5,20,5,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Bareland,0,20,3,0,6,14,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Built-up,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Forest,0,24,0,0,0,15,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Wetland,0,1,0,0,8,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Cropland,0,0,3,4,22,19,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NYK_M_R,Water,0,14,0,2,9,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Bareland,1,13,1,0,2,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Water,1,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Forest,6,15,0,6,0,0,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Grassland,0,8,0,8,4,0,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Wetland,0,11,0,0,4,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Built-up,0,7,0,4,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NYK_M_R,Cropland,0,0,0,4,2,0,3,0,0,0,0
