Dataset,MajorityClass,Bareland,Grassland,Forest,Water,Wetland,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37QFU_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Cropland,3,4,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Wetland,7,8,7,7,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Bareland,0,22,0,35,11,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Water,42,14,2,0,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QFU_M_R,Forest,2,6,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,Cropland,0,0,0,3,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,Wetland,0,0,0,14,0,0,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,Bareland,0,0,0,51,0,0,17,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,Water,0,0,0,0,0,0,19,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QFU_M_R,Forest,0,0,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,Water,18,0,0,0,36,11,0,12,30,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,Bareland,0,4,0,8,31,15,0,12,37,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,Forest,1,0,0,0,8,0,0,0,19,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QFU_M_R,Wetland,0,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,Water,31,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,Wetland,11,0,9,15,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,Bareland,0,0,2,17,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QFU_M_R,Forest,2,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,Bareland,0,0,0,1,14,0,0,0,0,0,11,0
AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,Water,0,0,0,0,19,0,0,0,0,0,3,0
AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,Forest,0,0,0,0,8,0,0,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_37QFU_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_37QFU_M_R,Wetland,5,0,6,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QFU_M_R,Water,16,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_37QFU_M_R,Forest,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QFU_M_R,Bareland,0,0,0,7,0,0,0,0,0,0,0,1
