,0
AFRICA_2024_GLC_FCS30D_2022_35QNU_M_R,45
AFRICA_2024_WorldCover_2021_35QNU_M_R,40
AFRICA_2024_DynamicWorld_2024_35QNU_M_R,35
AFRICA_2024_ESRI_Annual_LULC_2024_35QNU_M_R,12
AFRICA_2024_GSW_Yearly_2021_35QNU_M_R,3
