Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35PMM_M_R,Shrubland,3,3,3,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Grassland,0,5,7,2,3,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Cropland,11,0,8,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Wetland,24,14,0,3,17,0,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Bareland,5,4,2,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Built-up,3,2,0,2,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Water,27,17,20,19,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMM_M_R,Forest,26,17,14,9,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Grassland,0,0,1,0,0,0,0,9,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Cropland,0,0,2,0,0,0,0,8,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Bareland,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Forest,0,0,8,0,0,0,0,23,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Wetland,0,0,0,0,0,0,0,36,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMM_M_R,Water,0,0,7,0,0,0,0,15,0,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Grassland,0,0,0,0,0,0,3,0,1,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Cropland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Wetland,0,0,0,0,0,0,11,0,4,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Built-up,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Water,0,0,0,0,0,0,0,0,20,0
AFRICA_2024_GSW_Yearly_2021_35PMM_M_R,Forest,0,0,0,0,0,0,10,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Water,14,12,7,2,16,0,0,0,0,20
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Cropland,6,0,2,0,7,0,0,0,0,11
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Wetland,2,1,0,0,8,0,0,0,0,19
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Built-up,1,0,0,0,0,0,0,0,0,2
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Forest,14,6,8,6,0,3,0,0,0,28
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Grassland,0,0,1,1,3,0,0,0,0,6
AFRICA_2024_GLC_FCS30D_2022_35PMM_M_R,Bareland,2,1,0,0,1,0,0,0,0,5
AFRICA_2024_ESRI_Annual_LULC_2024_35PMM_M_R,Grassland,0,1,1,0,3,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMM_M_R,Wetland,0,4,0,0,14,0,11,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMM_M_R,Water,0,0,1,0,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMM_M_R,Forest,0,0,4,0,0,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMM_M_R,Cropland,0,0,0,0,1,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMM_M_R,Wetland,4,3,0,0,6,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMM_M_R,Forest,3,0,5,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMM_M_R,Grassland,0,1,1,1,1,0,1,0,0,0
