Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Shrubland,3,2,1,2,1,1,2,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Grassland,0,7,1,3,1,1,3,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Cropland,27,0,0,9,3,0,10,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Wetland,4,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Bareland,18,4,0,0,5,0,1,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Built-up,6,5,0,7,0,0,6,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Water,2,4,0,5,0,0,1,0,0,0
AFRICA_2024_WorldCover_2021_38PLQ_M_R,Forest,19,9,1,7,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,Grassland,0,0,2,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,Bareland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,Water,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLQ_M_R,Forest,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,Grassland,0,0,0,0,0,4,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,Wetland,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,Bareland,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLQ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Water,7,5,2,3,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Cropland,20,0,0,6,2,0,9,0,25,0
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Bareland,12,4,1,0,5,0,1,0,10,1
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Built-up,6,5,0,3,0,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Forest,16,13,0,6,4,0,0,0,18,1
AFRICA_2024_GLC_FCS30D_2022_38PLQ_M_R,Grassland,0,4,2,0,0,0,1,0,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Grassland,0,4,0,3,4,1,8,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Bareland,0,6,0,0,3,0,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Forest,0,6,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Built-up,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Water,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Cropland,0,0,0,3,6,0,13,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLQ_M_R,Wetland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,Cropland,1,0,0,1,0,0,5,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,Grassland,0,4,0,4,0,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,Wetland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLQ_M_R,Forest,0,1,0,0,0,0,0,0,0,0
