Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PWB_M_R,Shrubland,3,3,2,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Grassland,0,17,13,3,12,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Cropland,79,0,32,55,72,29,25,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Wetland,16,13,0,8,29,2,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Bareland,45,42,3,0,16,17,15,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Built-up,16,13,0,14,15,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Forest,30,34,15,4,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PWB_M_R,Water,36,65,7,52,60,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Grassland,0,0,3,0,0,0,0,27,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Cropland,0,0,25,0,0,0,7,79,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Forest,0,0,11,0,0,0,0,26,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Wetland,0,0,0,0,0,0,0,37,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Water,0,0,34,0,0,0,0,6,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Bareland,0,0,6,0,0,0,2,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PWB_M_R,Built-up,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Grassland,0,0,0,0,0,0,12,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Cropland,0,0,0,0,0,0,118,0,26,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Bareland,0,0,0,0,0,0,70,0,8,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Forest,0,0,0,0,0,0,15,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Built-up,0,0,0,0,0,0,10,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Wetland,0,0,0,0,0,0,7,0,8,0,0
AFRICA_2024_GSW_Yearly_2021_36PWB_M_R,Water,0,0,0,0,0,0,0,0,58,0,0
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Cropland,69,0,25,41,35,39,7,0,0,75,6
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Wetland,13,15,0,0,0,1,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Bareland,47,43,6,0,3,31,2,0,0,27,7
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Built-up,14,16,0,6,3,0,0,0,0,9,1
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Water,66,61,34,38,8,20,0,0,0,34,0
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Forest,29,35,11,11,0,10,0,0,0,37,0
AFRICA_2024_GLC_FCS30D_2022_36PWB_M_R,Grassland,0,9,3,1,8,0,0,0,0,22,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Grassland,0,39,10,5,7,12,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Wetland,0,32,0,2,3,6,9,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Bareland,0,39,0,0,0,35,23,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Built-up,0,2,0,2,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Forest,0,46,8,0,0,23,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Cropland,0,0,16,34,18,51,22,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PWB_M_R,Water,0,64,0,26,0,41,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Cropland,26,0,31,31,35,0,28,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Wetland,10,11,0,3,10,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Forest,5,8,3,2,0,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Water,0,15,2,20,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Grassland,0,10,4,9,6,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Bareland,0,14,2,0,0,0,12,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PWB_M_R,Built-up,0,13,4,12,3,0,3,0,0,0,0
