Dataset,MajorityClass,Bareland,Forest,Grassland,Built-up,Wetland,Cropland,Water,Non_Water,Lichens_and_Mosses,Shrubland,Non_Wetland
AFRICA_2024_WorldCover_2021_37PHS_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHS_M_R,Cropland,3,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHS_M_R,Bareland,0,1,9,13,18,6,18,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHS_M_R,Built-up,3,2,0,0,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHS_M_R,Wetland,12,0,1,0,0,3,9,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHS_M_R,Water,39,0,5,0,25,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,Bareland,0,0,0,0,0,0,51,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,Wetland,0,0,0,0,0,0,29,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHS_M_R,Water,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Built-up,4,0,0,0,0,5,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Forest,0,0,0,0,0,6,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Wetland,10,0,0,2,0,3,3,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Water,33,0,0,10,38,10,0,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_37PHS_M_R,Bareland,0,0,4,16,23,25,7,0,0,10,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,Cropland,1,0,0,2,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,Bareland,0,0,0,17,2,0,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,Wetland,7,2,0,0,0,0,23,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHS_M_R,Water,34,1,0,2,7,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Bareland,0,0,0,0,2,1,18,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Water,18,0,0,0,5,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Wetland,19,3,0,0,0,0,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHS_M_R,Built-up,6,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHS_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,15
AFRICA_2024_GWL_FCS30D_2022_37PHS_M_R,Bareland,0,0,0,0,12,0,3,0,0,0,19
AFRICA_2024_GWL_FCS30D_2022_37PHS_M_R,Water,0,0,0,0,21,0,0,0,0,0,19
