Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_35PRM_M_R,Shrubland,3,3,3,2,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Grassland,0,10,21,3,1,8,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Cropland,69,0,37,29,12,14,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Wetland,58,10,0,7,2,33,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Bareland,34,18,7,0,7,4,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Built-up,12,7,1,4,0,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Water,63,33,38,46,0,7,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Forest,56,14,26,6,5,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRM_M_R,Permanent_ice_and_snow,7,2,0,5,0,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Grassland,0,0,7,0,0,0,0,35,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Cropland,0,0,10,0,0,0,1,46,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Bareland,0,0,0,0,0,0,0,8,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Forest,0,0,13,0,0,0,3,40,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Wetland,0,0,0,0,0,0,4,103,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRM_M_R,Water,0,0,21,0,0,0,0,50,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Grassland,0,0,0,0,0,0,15,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Cropland,0,0,0,0,0,0,40,0,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Wetland,0,0,0,0,0,0,39,0,23,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Bareland,0,0,0,0,0,0,29,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Water,0,0,0,0,0,0,0,0,36,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRM_M_R,Forest,0,0,0,0,0,0,11,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRM_M_R,Cropland,32,0,10,19,15,34,1,0,0,57,2,0
AFRICA_2024_GLC_FCS30D_2022_35PRM_M_R,Wetland,7,10,0,5,0,11,4,0,0,50,0,0
