Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland
AFRICA_2024_WorldCover_2021_36NVP_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Grassland,0,33,1,1,14,5,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Cropland,38,20,0,2,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Wetland,54,0,0,0,35,8,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Bareland,8,4,0,0,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Built-up,18,1,4,0,8,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Water,84,74,0,3,60,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NVP_M_R,Forest,66,60,0,2,0,9,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Cropland,0,0,0,0,0,0,20,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Bareland,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Forest,0,21,0,0,0,8,84,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Water,0,24,0,0,0,0,51,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Grassland,0,9,0,0,0,4,34,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NVP_M_R,Wetland,0,0,0,0,0,8,100,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Grassland,0,0,0,0,0,27,0,9,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Cropland,0,0,0,0,0,12,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Bareland,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Built-up,0,0,0,0,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Water,0,0,0,0,0,0,0,52,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Forest,0,0,0,0,0,63,0,15,0,0
AFRICA_2024_GSW_Yearly_2021_36NVP_M_R,Wetland,0,0,0,0,0,58,0,19,0,0
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Cropland,1,0,9,3,12,0,0,0,25,0
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Built-up,3,0,3,0,2,0,0,0,9,4
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Water,1,24,30,4,34,0,0,0,65,8
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Forest,6,21,27,7,0,8,0,0,63,12
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Grassland,0,9,18,0,19,4,0,0,31,6
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Wetland,0,0,18,0,24,8,0,0,40,2
AFRICA_2024_GLC_FCS30D_2022_36NVP_M_R,Bareland,0,0,0,0,0,0,0,0,8,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Grassland,0,1,0,4,30,17,0,0,0,13
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Water,0,4,0,7,52,0,0,0,0,12
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Forest,0,7,0,6,0,29,0,0,0,18
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Wetland,0,0,0,1,44,42,0,0,0,17
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Cropland,0,0,0,1,7,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NVP_M_R,Bareland,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NVP_M_R,Water,33,18,0,0,28,0,0,0,0,3
AFRICA_2024_DynamicWorld_2024_36NVP_M_R,Wetland,21,0,0,0,24,16,0,0,0,3
AFRICA_2024_DynamicWorld_2024_36NVP_M_R,Forest,29,20,0,0,0,17,0,0,0,8
AFRICA_2024_DynamicWorld_2024_36NVP_M_R,Grassland,0,0,0,0,2,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36NVP_M_R,Built-up,0,0,0,0,3,1,0,0,0,2
