Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Lichens_and_Mosses,Wetland
AFRICA_2024_WorldCover_2021_37NCD_M_R,Shrubland,3,1,2,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Grassland,0,2,3,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Cropland,32,0,12,0,5,1,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Wetland,3,1,1,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Lichens_and_Mosses,1,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Bareland,25,6,0,1,2,2,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Built-up,8,3,5,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Water,20,2,8,0,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NCD_M_R,Forest,19,2,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Grassland,0,0,0,0,0,5,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Bareland,0,0,0,0,0,14,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Built-up,0,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Cropland,0,0,0,0,0,8,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,Water,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Cropland,18,0,20,15,2,0,0,15,2,0
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Bareland,16,1,0,14,0,0,0,17,0,1
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Built-up,6,2,5,0,1,0,0,6,0,0
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Water,14,2,13,11,2,0,0,12,2,0
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Forest,10,5,12,6,0,0,0,10,6,1
AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,Grassland,0,2,2,0,0,0,0,4,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Grassland,0,12,5,3,2,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Wetland,0,3,1,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Bareland,0,11,0,4,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Forest,0,4,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Water,0,11,1,1,8,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,Cropland,0,0,3,1,2,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NCD_M_R,Bareland,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_37NCD_M_R,Forest,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37NCD_M_R,Grassland,0,5,6,0,2,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NCD_M_R,Bareland,0,9,0,0,0,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NCD_M_R,Forest,0,0,0,0,0,5,0,0,0,0
