Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Shrubland,Built-up,Lichens_and_Mosses,Water
AFRICA_2024_WorldCover_2021_35QPU_M_R,Shrubland,1,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35QPU_M_R,Grassland,0,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35QPU_M_R,Cropland,16,0,9,10,0,0,0,0
AFRICA_2024_WorldCover_2021_35QPU_M_R,Bareland,16,3,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35QPU_M_R,Built-up,1,0,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35QPU_M_R,Forest,14,1,3,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QPU_M_R,Cropland,7,0,1,4,10,7,0,0
AFRICA_2024_GLC_FCS30D_2022_35QPU_M_R,Bareland,9,2,0,3,12,7,2,0
AFRICA_2024_GLC_FCS30D_2022_35QPU_M_R,Forest,5,7,0,0,7,6,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QPU_M_R,Grassland,0,2,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QPU_M_R,Cropland,0,0,2,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QPU_M_R,Bareland,0,5,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35QPU_M_R,Forest,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35QPU_M_R,Grassland,0,2,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35QPU_M_R,Bareland,0,5,0,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_35QPU_M_R,Forest,0,4,1,0,0,0,0,0
