Value,AFRICA_2024_DynamicWorld_2024_36PZB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZB_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZB_M_R,AFRICA_2024_GSW_Yearly_2021_36PZB_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZB_M_R,AFRICA_2024_WorldCover_2021_36PZB_M_R
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
126,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
127,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
128,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
129,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
130,NULL,Cropland,Wetland,NULL,Wetland,Forest
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
138,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
139,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
146,NULL,Cropland,Water,Water,Water,Cropland
147,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
148,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
151,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
152,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
153,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
154,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
158,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
160,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
161,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
166,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
172,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
173,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
174,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
175,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
176,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
183,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
184,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
191,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
192,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
193,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
194,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
195,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
196,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
197,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
201,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
204,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
205,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
206,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
207,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
208,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
209,NULL,Built-up,Wetland,NULL,Wetland,Grassland
210,NULL,Built-up,Wetland,NULL,Wetland,Forest
211,NULL,Built-up,Wetland,Water,Wetland,Grassland
212,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
213,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
215,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
221,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
222,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
223,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
230,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
231,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
232,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
233,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
234,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
235,NULL,Water,Grassland,NULL,Non_Wetland,Forest
236,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
237,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
238,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
239,NULL,Water,Cropland,NULL,Non_Wetland,Forest
240,NULL,Water,Cropland,Water,Non_Wetland,Grassland
241,NULL,Water,Cropland,Water,Non_Wetland,Forest
242,NULL,Water,Wetland,Water,Wetland,Water
243,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
244,NULL,Water,Bareland,NULL,Non_Wetland,Water
245,NULL,Water,Bareland,NULL,Non_Wetland,Forest
246,NULL,Water,Forest,Water,Non_Wetland,Water
247,NULL,Forest,NULL,NULL,Non_Wetland,NULL
248,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
249,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
250,NULL,Forest,NULL,NULL,Non_Wetland,Forest
251,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
252,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
253,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
254,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
256,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
258,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
259,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
260,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
261,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
262,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
263,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
264,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
265,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
266,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
267,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
268,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
269,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
270,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
271,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
272,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
273,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
274,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
275,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
276,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
277,NULL,Forest,Forest,NULL,Non_Wetland,NULL
278,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
279,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
280,NULL,Forest,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
282,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
283,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
284,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
292,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
294,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
295,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
296,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Forest
297,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
298,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
299,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
301,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
302,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
303,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
304,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
305,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
306,Grassland,Cropland,Wetland,Water,Wetland,Cropland
307,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
308,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
309,Grassland,Wetland,Cropland,Water,Non_Wetland,Cropland
310,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
311,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
312,Grassland,Water,Wetland,Water,Wetland,Cropland
313,Grassland,Water,Wetland,Water,Wetland,Wetland
314,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
315,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
316,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
317,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
318,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
319,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
320,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
321,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
322,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
323,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
324,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
330,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
331,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
332,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
333,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
334,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
335,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
336,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
337,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
338,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
339,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
340,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
344,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
345,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
346,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
347,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
348,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
349,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
350,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
351,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
352,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
353,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
354,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
355,Cropland,NULL,Grassland,Water,Non_Wetland,Water
356,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
357,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
358,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
359,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
360,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
361,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
362,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
363,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
364,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
365,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
366,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
367,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
368,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
369,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
370,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
371,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
372,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
373,Cropland,NULL,Cropland,Water,Non_Wetland,Water
374,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
375,Cropland,NULL,Wetland,NULL,Wetland,Grassland
376,Cropland,NULL,Wetland,NULL,Wetland,Bareland
377,Cropland,NULL,Wetland,NULL,Wetland,Forest
378,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
379,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
380,Cropland,NULL,Wetland,Water,Wetland,Grassland
381,Cropland,NULL,Wetland,Water,Wetland,Cropland
382,Cropland,NULL,Wetland,Water,Wetland,Bareland
383,Cropland,NULL,Wetland,Water,Wetland,Water
384,Cropland,NULL,Wetland,Water,Wetland,Forest
385,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
386,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
387,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
388,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
389,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
390,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
391,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
392,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
393,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
394,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
395,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
396,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
397,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
398,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
399,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
400,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
401,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
402,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
403,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
404,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
405,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
406,Cropland,NULL,Bareland,Water,Non_Wetland,Water
407,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
408,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
409,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
410,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
411,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
412,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
413,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
414,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
415,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
416,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
417,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
