Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Shrubland,Lichens_and_Mosses,Built-up
AFRICA_2024_WorldCover_2021_35QMU_M_R,Shrubland,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Grassland,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Bareland,3,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Built-up,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Cropland,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QMU_M_R,Water,2,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35QMU_M_R,Bareland,0,0,0,2,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QMU_M_R,Bareland,5,0,0,0,3,2,4
AFRICA_2024_GLC_FCS30D_2022_35QMU_M_R,Cropland,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QMU_M_R,Water,2,3,0,0,2,1,2
AFRICA_2024_DynamicWorld_2024_35QMU_M_R,Grassland,0,1,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35QMU_M_R,Bareland,0,0,0,3,0,0,0
