Dataset,MajorityClass,Grassland,Bareland,Water,Shrubland,Built-up,Lichens_and_Mosses,Cropland
AFRICA_2024_WorldCover_2021_35QNU_M_R,Shrubland,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Grassland,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Bareland,6,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Built-up,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Cropland,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35QNU_M_R,Water,2,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35QNU_M_R,Bareland,0,0,2,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QNU_M_R,Bareland,5,0,0,5,5,1,0
AFRICA_2024_GLC_FCS30D_2022_35QNU_M_R,Cropland,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35QNU_M_R,Water,2,3,0,2,2,1,0
AFRICA_2024_DynamicWorld_2024_35QNU_M_R,Bareland,0,0,5,0,0,0,1
AFRICA_2024_DynamicWorld_2024_35QNU_M_R,Grassland,0,1,1,0,0,0,0
