Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37QHU_M_R,Shrubland,1,1,1,3,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Grassland,0,2,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Cropland,7,0,3,13,7,2,9,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Wetland,28,32,0,38,8,35,13,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Lichens_and_Mosses,1,1,1,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Bareland,29,16,19,0,22,37,4,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Built-up,14,16,3,19,0,9,6,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Water,39,29,61,91,20,0,17,0,0,0,0
AFRICA_2024_WorldCover_2021_37QHU_M_R,Forest,3,2,4,3,0,2,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Bareland,0,0,17,0,0,4,0,31,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Built-up,0,0,3,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Wetland,0,0,0,0,0,0,0,40,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Water,0,0,45,0,0,0,0,54,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37QHU_M_R,Forest,0,0,3,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Cropland,0,0,0,0,0,11,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Wetland,0,0,0,0,0,63,0,0,38,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Bareland,0,0,0,0,0,69,0,0,26,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Built-up,0,0,0,0,0,26,0,0,5,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Water,0,0,0,0,0,0,0,0,70,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_37QHU_M_R,Forest,0,0,0,0,0,5,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Water,12,63,92,94,41,0,2,0,0,33,15
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Cropland,6,0,1,9,4,0,0,0,0,5,4
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Wetland,2,7,0,28,3,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Bareland,10,44,40,0,21,10,0,0,0,21,8
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Built-up,7,17,13,18,0,0,0,0,0,8,5
AFRICA_2024_GLC_FCS30D_2022_37QHU_M_R,Forest,1,8,7,11,1,1,0,0,0,2,1
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Grassland,0,1,0,1,2,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Wetland,0,4,0,29,25,42,27,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Bareland,0,4,8,0,10,31,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Built-up,0,3,0,4,0,2,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Water,0,6,13,61,41,0,19,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Cropland,0,0,0,4,4,2,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37QHU_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Cropland,0,0,1,1,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Bareland,0,0,5,0,0,30,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Water,0,0,4,26,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Wetland,0,0,0,16,0,54,2,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Built-up,0,0,0,3,0,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37QHU_M_R,Forest,0,0,0,0,0,3,0,0,0,0,0
