Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_37NHH_M_R,Shrubland,2,2,2,1,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Grassland,0,11,3,1,4,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Cropland,80,0,64,1,64,4,20,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Wetland,63,26,27,0,62,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Lichens_and_Mosses,2,1,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Bareland,67,54,0,12,44,3,20,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Built-up,8,3,7,0,5,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Water,118,86,101,0,103,0,48,0,0,0,0
AFRICA_2024_WorldCover_2021_37NHH_M_R,Forest,75,37,24,0,0,2,21,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Grassland,0,0,0,0,0,14,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Cropland,0,0,0,0,0,91,0,30,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Wetland,0,0,0,0,0,51,0,25,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Bareland,0,0,0,0,0,76,0,31,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Water,0,0,0,0,0,0,0,114,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NHH_M_R,Forest,0,0,0,0,0,54,0,20,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Cropland,0,0,0,0,0,20,35,0,34,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Grassland,0,0,0,0,0,1,4,0,10,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Bareland,0,0,0,0,0,18,27,0,22,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Water,0,0,0,0,0,0,41,0,37,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Forest,0,0,0,0,0,14,30,0,42,0,0
AFRICA_2024_GWL_FCS30D_2022_37NHH_M_R,Wetland,0,0,0,0,0,0,0,0,64,0,0
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Cropland,70,0,26,25,17,20,35,0,0,48,18
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Bareland,65,44,0,30,16,18,27,0,0,52,14
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Built-up,7,4,2,0,0,0,0,0,0,6,1
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Water,72,67,45,21,27,0,41,0,0,46,10
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Forest,65,57,35,12,0,14,30,0,0,36,17
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Grassland,0,11,0,0,0,1,4,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_37NHH_M_R,Wetland,16,22,8,0,3,0,0,0,0,9,1
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Grassland,0,21,6,6,18,11,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Wetland,0,57,16,0,20,57,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Water,0,76,44,1,12,0,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Forest,0,50,6,7,0,45,7,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Cropland,0,0,11,15,27,43,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NHH_M_R,Bareland,0,49,0,11,10,57,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Cropland,8,0,33,0,34,23,14,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Wetland,3,30,40,0,34,32,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Grassland,0,13,12,0,10,7,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Bareland,0,16,0,0,7,18,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Water,0,36,54,0,35,0,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Forest,0,11,8,0,0,14,16,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NHH_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0
