Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_36NTN_M_R,Shrubland,3,1,3,1,1,2,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Grassland,0,2,35,2,4,11,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Cropland,41,0,33,18,13,12,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Wetland,66,1,0,1,1,37,4,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Bareland,29,0,6,0,11,4,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Built-up,10,1,9,7,0,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Water,70,0,88,13,1,37,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Forest,71,7,59,8,17,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NTN_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Cropland,0,0,0,0,0,0,0,41,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Bareland,0,0,0,0,0,0,0,11,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Forest,0,0,10,0,0,0,2,96,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Wetland,0,0,0,0,0,0,13,209,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Built-up,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Water,0,0,16,0,0,0,0,60,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NTN_M_R,Grassland,0,0,3,0,0,0,0,51,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Grassland,0,0,0,0,0,0,21,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Wetland,0,0,0,0,0,0,60,0,17,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Water,0,0,0,0,0,0,0,0,42,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Forest,0,0,0,0,0,0,46,0,10,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NTN_M_R,Bareland,0,0,0,0,0,0,8,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NTN_M_R,Water,12,16,16,27,16,32,0,0,0,57,0
AFRICA_2024_GLC_FCS30D_2022_36NTN_M_R,Cropland,10,0,0,8,8,30,0,0,0,43,0
