Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Non_Wetland,Water,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Shrubland,3,2,2,1,1,3,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Grassland,0,1,0,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Cropland,3,0,0,0,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Wetland,17,0,0,0,0,9,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Bareland,1,0,0,0,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Built-up,7,1,0,4,0,5,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Water,15,1,1,2,1,16,0,0,0,0
AFRICA_2024_WorldCover_2021_35NMJ_M_R,Forest,32,1,8,6,9,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMJ_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMJ_M_R,Forest,0,0,12,0,0,0,10,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMJ_M_R,Water,0,0,2,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NMJ_M_R,Wetland,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,Wetland,0,0,0,0,0,0,0,10,2,0
AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,Built-up,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,Forest,0,0,0,0,0,0,0,23,4,0
AFRICA_2024_GSW_Yearly_2021_35NMJ_M_R,Water,0,0,0,0,0,0,0,0,7,0
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Cropland,0,0,0,0,0,2,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Built-up,1,3,0,0,0,3,0,0,0,6
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Water,1,0,2,2,2,7,0,0,0,15
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Forest,4,4,12,3,7,0,0,2,0,31
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Grassland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NMJ_M_R,Wetland,0,0,0,0,0,3,0,0,0,2
AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,Wetland,0,1,0,0,1,10,0,7,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,Forest,0,2,0,0,1,0,0,2,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,Grassland,0,0,0,0,1,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,Built-up,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NMJ_M_R,Water,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NMJ_M_R,Forest,1,0,2,0,0,0,0,5,0,0
AFRICA_2024_DynamicWorld_2024_35NMJ_M_R,Wetland,0,0,0,0,0,4,0,3,0,0
