Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Shrubland,3,2,1,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Grassland,0,11,5,4,2,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Cropland,42,0,16,9,5,17,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Wetland,2,1,0,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Lichens_and_Mosses,1,1,1,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Bareland,26,10,0,4,4,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Built-up,9,6,6,0,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Forest,24,17,6,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PKQ_M_R,Water,31,12,10,0,0,2,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Grassland,0,0,0,0,5,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Cropland,0,0,0,0,7,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Water,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PKQ_M_R,Forest,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Cropland,28,0,21,11,1,14,0,37,5,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Bareland,21,11,0,6,0,4,0,18,3,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Built-up,7,5,4,0,0,2,0,6,1,0,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Water,16,11,21,1,0,1,0,15,1,2,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Forest,13,16,12,7,0,0,0,19,6,1,0
AFRICA_2024_GLC_FCS30D_2022_38PKQ_M_R,Grassland,0,8,7,3,0,5,0,13,0,2,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,Grassland,0,15,2,4,2,15,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,Bareland,0,13,0,15,11,9,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,Forest,0,16,0,2,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,Cropland,0,0,8,19,0,19,0,0,0,7,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PKQ_M_R,Water,0,2,0,5,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Cropland,9,0,7,0,2,7,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Forest,7,7,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Water,0,10,1,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Grassland,0,7,7,0,3,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Wetland,0,2,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Bareland,0,5,0,0,2,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PKQ_M_R,Built-up,0,4,3,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PKQ_M_R,Grassland,0,0,0,0,0,0,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_38PKQ_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,7
AFRICA_2024_GWL_FCS30D_2022_38PKQ_M_R,Water,0,0,0,0,0,0,0,0,0,2,0
AFRICA_2024_GWL_FCS30D_2022_38PKQ_M_R,Forest,0,0,0,0,0,0,0,0,0,1,0
